full_text,text_clean,class
@lhayesno @yunartowijaya @budimandjatmiko Harus p.ganjar calon RI 1,calon,1
"Aplikasi Jalan Cantik yang Diluncurkan Ganjar Dipuji Warga: Cepat Responsnya  Kehadiran aplikasi tsb memberikan kemudahan kepada masyarakat untuk membuat laporan, terutama jika dibandingkan dngn sebelumnya ketika masyarakat kerap kesulitan melapor.  Keysia Dingin Bali Tidur Binus https://t.co/7AFpEROprY",aplikasi jalan cantik luncur puji warga cepat respons hadir aplikasi beri mudah masyarakat buat lapor utama banding masyarakat kerap sulit lapor keysia dingin bal tidur bus,1
"Mantan Panglima TNI Andika Perkasa Siap Jadi Cawapres Ganjar, PPP Buka Suara https://t.co/iVJOUl1sff",mantan panglima andika perkasa siap jadi cawapres buka suara,1
"@supian_ator @Dennysiregar7 @budimandjatmiko Kenapa lari ke Ganjar,bukankah judul di atas itu tentang Budiman dan Prabowo,ini penyakit hati yg akut, nebar hoax lagi.",lari judul atas budiman sakit hati akut nebar isu bohong,2
"@democrazymedia Jagoan lu dulu, Jokowi, sampai sekarang ngga bisa realisasi tuh janji dia mau bangun stadion persija. Sekarang lu ngibul lagi kl ganjar mo bikin stadion besar. Ngibul lu yg besar Hasto @PDI_Perjuangan",jago kamu realisasi janji bangun stadion persija kamu bohong kalo buat stadion besar bohong kamu besar hasto,2
"@Dennysiregar7 Sudah lah emang si ganjar itu bakal di tinggal gerbong relawan, gagasan gak ada, prestasi g ada, kemampyan utk diplomasi ke dunia internasional g ada, bakal calon boneka megatron krn ada perjanjian batu tulis mega ganjr kata si ade armando makin dikuatkan oleh si budiman skrg.",memang bakal tinggal gerbong rawan gagas prestasi kemampyan diplomasi dunia internasional bakal calon boneka megatron janji batu tulis mega ganjr kata armando kuat budiman sekarang,1
"@SWEETAL154 ...ntar kalo Ganjar kepilih, keknya nasibnya kek pakdhe Jokowi.... nenek elo kekunci dikamar mandi... nyalahin pak Ganjar",jika pilih kayak nasib kayak pakdhe nenek kunci kamar mandi nyalahin,0
"@ganjarpranowo Jalan di kampung saya kel.cilibur kec.paguyangan, kab.brebes pak sangat tidak layak pakai pak, sudah puluhan tahun rusak, sekalinya dibenerin paling bertahan sebulan dua bulan itu pun karna swadaya masyarakat. Tolong pak ganjar minta perhatian khususnya tolong🙏🏻🙏🏻",jalan kampung lurah cilibur camat paguyangan kabupaten brebes layak pakai puluh tahun rusak sekali dibenerin tahan bulan bulan swadaya masyarakat minta perhati,2
"@ferrykoto @budimandjatmiko Cara berpolitik Budiman memang jauh ke depan, sementara sebagian besar masih jalan di tempat. Kemunculan Ganjar, kalau dicermati adalah hasil dari beberapa lembaga survei yg mengorbitkannya dari gubernur biasa saja sehingga Megawati TERPAKSA mencapreskannya. Entah siapa bohirnya",cara politik budiman jauh bagi besar jalan tempat muncul cermat hasil lembaga survei orbit gubernur paksa mencapreskannya bohirnya,1
"Gak usah saling hina,klaim,semua manusia sama, ingin bahagia,membuat orang lain bahagia itu manusia yg terbaik.utk urusan negara serahkan ahlinya yg sdh nyata. GANJAR PRANOWO yg terbaik saat ini, terbukti dgn data dan fakta, yg lain belum saatnya..",perlu hina klaim manusia bahagia buat orang bahagia manusia baik urus negara serah ahli nyata baik bukti data fakta,0
"Ada fakta menarik di balik sosok Pak Ganjar yg sering mengenakan baju garis hitam putih.   Ternyata baju itu yang mendesain Presiden @jokowi , dan kini menjadi trend di kalangan relawan Ganjar. @ganjarpranowo https://t.co/On4VA1mOXd",fakta tarik balik sosok kena baju garis hitam putih nyata baju desain presiden jadi trend kalang rawan,0
Pesan Ganjar Pranowo ke Jurkam: Sampaikan Data yang Jujur dan Jangan Politik Identitas  Bacapres Ganjar Pranowo meminta seluruh jurkam agar bersikap jujur dan tidak menggunakan politik identitas dalam menyampaikan pesan-pesan kepada rakyat.  ___ Keysia Dingin Bali Tidur Binus https://t.co/tw2QYRL4S7,pesan jurkam sampai data jujur politik identitas bacapres minta jurkam sikap jujur guna politik identitas sampai pesan pesan rakyat keysia dingin bal tidur bus,1
Ganjar Pranowo tidak akan menggunakan politik uang dan politik identitas dalam menarik simpati masyarakat  Dengan elektabilitas Pak Ganjar yang tinggi tentunya seluruh masyarakat Indonesia sudah tahu dengan kinerja Gubernur Jateng tersebut.  Keysia Dingin Bali Tidur Binus https://t.co/JNYBOV2Xo4,guna politik uang politik identitas tarik simpati masyarakat elektabilitas tinggi masyarakat indonesia tahu kerja gubernur jateng keysia dingin bal tidur bus,1
"@putrisakera Ganjar Orangnya Jokowi ( asli Indonesia ) Prabowo orangnya Jokowi ( asli Indonesia )  Anies ? ( Asli orang Arab ) faktanya bgitu kan?  Sorry ya, Putra - Putri Pribumi Nusantara masih banyak yg bisa dan siap jadi pemimpin kami. Rakyat Indonesia tdk ingin hancur seperti Yaman..",orang asli indonesia orang asli indonesia asli orang arab fakta bgitu maaf putra putri pribumi nusantara siap jadi pimpin rakyat indonesia hancur yaman,2
"Tahun 2024 PDIP diambang kehancuran, terutama setelah mencapreskan Ganjar yang penuh masalah dan zero prestasi. Lengkap sudah jalan menuju kehancuran  Sudah saatnya PDIP tenggelam  https://t.co/GKb1uz7TF5",tahun pdip ambang hancur utama mencapreskan penuh masalah zero prestasi lengkap jalan tuju hancur pdip tenggelam,1
"siaga KPU curang,  https://t.co/iIIVCYDW38  Erick Thohir Paling Diterima Masyarakat Jadi Cawapres Ganjar Pranowo , lebih banyak detail : https://t.co/TVp5Sj1R4H",siaga curang erick thohir terima masyarakat jadi cawapres detail,2
@Dennysiregar7 Baliho GANJAR dah digulung.... Baliho SI BAPAK jg dah digulung....  Mmg relawan2 dri pihak 2 capres itu butuh edukasi lbh banyak.,baliho gulung baliho bapak sudah gulung memang rawan pihak capres butuh edukasi lebih,2
"@Uki23 BPJS disorot Jokowi dipuja Ganjar di dukung  Demi perolehan suara, yg sungsang pun dilakukan bwakakak",bpjs sorot puja dukung oleh suara sungsang laku bwakakak,2
"@Hasbil_Lbs @ganjarpranowo Perintah rakyat bisa diabaikan, perintah Ketum PDIP siap laksanakan lalu siapa sesungguhnya tuan dari Ganjar ? 🤣🤣🤣",perintah rakyat abai perintah ketua umum pdip siap laksana sungguh tuan,1
@mbahsurip_sanse @CNNIndonesia Pendukung Ganjar Pranowo 👍😁. https://t.co/5NZVJA8C4S,dukung,2
"Para Purnawirawan TNI - POLRI serta Keluarga Besarnya di Jawa Tengah. Dukung Anies Baswedan pada Pilpres 2024.  Suara Ganjar sudah mulai tergerus di JATENG"" https://t.co/zachcdPYeV""",purnawirawan polri keluarga besar jawa tengah dukung baswedan pilpres suara mulai gerus jateng,2
"Gue enek si Ama Ganjar,PDI dan segala antek² nya. Tapi klo kaya gini sih maksain banget lucu",enek sama antek kalau kaya gin paksa banget lucu,2
@e100ss @Unair_Official  Really? Persamaan dengan Jendral Sudirman? Jendral Sudirman orang saleh. Enggak kepikiran nonton bokep kayak Ganjar. MALU2IN cara jilatnya.,really sama jendral sudirman jendral sudirman orang saleh pikir nonton porno malu cara jilat,2
Bawaslu nya pro ganjar.. Tolol,bawaslu profesional tolol,2
@geloraco Ngak mungkinlah Ganjar susah bikin seragam Hitam Putih garis-garis masak di batalkan..,mungkin susah buat seragam hitam putih garis garis masak batal,2
@PresidenKopi Ganjar batal y?,batal,1
"@DokterTifa Pak Ganjar Pranowo Presiden RI ke 8 makin mulus jalannya, hanya orang pesong/gila yg berkeberatan dgn ramalan2 bodoh tolol dan gobloknya MERDEKA👍🤟🙏🇮🇩.",presiden mulus jalan orang pesong gila rat ramal bodoh tolol goblok merdeka,0
"Ganjar Bertemu Masyayikh dan Habaib se-Indonesia di Rembang.  Pertemuan bertajuk Silaturahmi Masyayikh se-Indonesia"" itu untuk berdiskusi, di antaranya membahas soal kemajuan pendidikan hingga rencana pembangunan Ibu Kota Nusantara (IKN). @ganjarpranowo https://t.co/7qkMRSHHSU""",temu masyayikh habaib indonesia rembang temu tajuk silaturahmi masyayikh indonesia diskus bahas soal maju didik rencana bangun kota nusantara,2
"@Dennysiregar7 @budimandjatmiko Sudah lah julpikar dongok, lu hadapi aja kenyataan bahwa si ganjar itu emang g pantas memimpin, gagasan gak ada, prestasi g ada, kemampuan utk diplomasi ke dunia International gak ada, calon boneka megatron, tanya si ade armando apa itu perjanjian batu tulis ganjar mega.",julpikar dongok kamu hadap nyata memang pimpin gagas prestasi mampu diplomasi dunia international calon boneka megatron tanya armando janji batu tulis mega,1
"Merakyat, Tegas, Berani, Bersih, Solutif, Kharismatik, Pluralisme, Anti korupsi, Anti radikalisme, anti intoleransi dan Peduli sama rakyat kecil... Itulah Ganjar Pranowo... 👍😁  #2024PilihGanjar #2024GanjarPresidenRI https://t.co/IFYJxWbnUP",rakyat tegas berani bersih solutif kharismatik pluralisme anti korupsi anti radikalisme anti intoleransi peduli rakyat,1
"Diluar dua putra bangsa terbaik , Ganjar dan Prabowo yang sedang ngetrend , Budiman adalah orang yg ke tiganya Tapi secara kwalitas dan rekam jejak , cuma Ganjar dan Budiman milik PDI P yang terbaik , menurut saya pribadi",luar putra bangsa baik ngetrend budiman orang tiga kwalitas rekam jejak budiman milik baik pribadi,1
Sabar pk ganjar  Akan ada orang yg mengkritik baju yg  panjenengan pake untuk kampanye  ya uwes sing sabar kita maklumi karena tidak semua orang suka dan ngerti filosopi makna warna baju yg panjenengan pake termasuk pk mardani alisera https://t.co/yYekekOukp,sabar jahat kelamin orang kritik baju panjenengan pakai kampanye uwes sing sabar maklum orang suka erti filosopi makna warna baju panjenengan pakai masuk jahat kelamin mardani alisera,1
"@Andi_not_death @aan_muba Aneh lu,pak Jokowi kan kader PDIP sama seperti pak Ganjar ya wajar sesama kader saling dukung,, ngandelin orang lain tuh bukan sesama kader tp pingin didukung pak Jokowi 🤭🤪",aneh kamu kader pdip wajar kader dukung ngandelin orang kader pingin dukung,2
"Kalau PKS kritik artinya itu sudah benar. Karena dimanapun PKS berpihak, maka kita dipihak seberangnya  Mardani PKS Kritik Baju Hitam-Putih Ganjar Karya Jokowi: Kurang Cerah https://t.co/RsS8NTO4ZO",kritik arti benar mana pihak pihak seberang mardani kritik baju hitam putih karya kurang cerah,1
Preferensi Panglima Andika terhadap sosok Ganjar 💪👍🇮🇩  || Keisya Mario CONGRATULATION JIN Bali Dingin Binus Suzy Barbie Cabe Oppenheimer MC YEONJUN Park Jihoon ||| https://t.co/8qrCUumhZa,preferensi panglima andika sosok isya mario congratulation bal dingin bus suzy barbie cabe oppenheimer yeonjun park jihoon,1
"Ganjar bukan super, bukan hebat, bukan sempurna.banyak sekali kekuranganya, tapi data dan fakta membuktikan dia capres terbaik yg ada dan yg bisa membawa Indonesia lebih baik 2024-2029. Jadi pastikan dukung dan pilih di demi Indonesi lebih baik.",super hebat sempurna kekuranganya data fakta bukti capres baik yang bawa indonesia baik jadi pasti dukung pilih indonesi baik,2
@__AnakKolong Iya. Kadang kita kecewa. Apa dia berharap capresnya pdi lebih dr Ganjar ?,kadang kecewa harap capresnya,0
@KakekHalal Apakah Ganjar akan dievaluasi untuk pencapresannya???,evaluasi pencapresannya,1
@Ganjaran_app @ganjarpranowo Ramah bgt dong pastinya pak ganjar,ramah banget pasti,1
@ekowboy2 Pilih Pribumi donk https://t.co/PP1JLzXRtA,pilih pribumi donk,0
"Aplikasi Jalan Cantik yang Diluncurkan Ganjar Dipuji Warga: Cepat Responsnya  Kehadiran aplikasi tsb memberikan kemudahan kepada masyarakat untuk membuat laporan, terutama jika dibandingkan dngn sebelumnya ketika masyarakat kerap kesulitan melapor.  Keysia Dingin Bali Tidur Binus https://t.co/l7bSUNe04x",aplikasi jalan cantik luncur puji warga cepat respons hadir aplikasi beri mudah masyarakat buat lapor utama banding masyarakat kerap sulit lapor keysia dingin bal tidur bus,1
"Survei Capres 2024 Terbaru Hari Ini, Elektabilitas Prabowo, Ganjar dan Anies, Siapa Unggul di Jatim?  #Pilpres2024 #capres #Prabowo #Ganjar #Anies #surveicapres  https://t.co/z2haIwYw0l lewat @tribunnews",survei capres baru hari elektabilitas unggul jatim lewat,1
@Ganjaran_app Gen z dukung pak ganjar,dukung,1
"Era Gubernur Ganjar Pranowo dan Presidennya Jokowi, Jateng berbenah secara besar2an, pembangunan infrastruktur menelan biaya yang sangat fantastis yaitu sebesar 258,76 T.  Pembangunannya bertahap dan terus berlanjut, ini yang di namakan sinergitas pusat dan daerah.",gubernur presiden jateng benah besar bangun infrastruktur tel biaya fantastis besar bangun tahap terus lanjut nama sinergitas pusat daerah,2
"Silaturahmi merupakan ajaran nabi yang banyak sekali manfaatnya.  Terima kasih para kyai, Gus Mus, Gus Baha, keluarga besar Mbah Maimoen Zubair serta seluruh santri Ponpes Al Anwar Rembang atas segala doa dan dukungannya. . Ganjar Pranowo sosok pemimpin peduli terhadap ponpes dan… https://t.co/GiMdKttQDO",silaturahmi ajar nabi manfaat terima kasih kyai baha keluarga besar mbah maimoen zubair santri pondok pesantren anwar rembang atas dukung sosok pimpin peduli pondok pesantren,1
@tvOneNews Benarlah kata Rocky Gerung &amp  Noel. Ganjar adlh satu2nya capres di alam semesta ini yg bingung mo ngapain. Ga punya nyali utk bawa gagasan sendiri selain nyusu sama Jokowi &amp  PDIP. Otaknya udah tersandera dr semua arah.,benar kata rocky gerung noel satu capres alam semesta bingung sedang apa punya nyali bawa gagas nyusu pdip otak sandera arah,0
@Ganjaran_app @ganjarpranowo Emang pak ganjar tak ada duanya,memang dua,0
"Jawa Tengah lagi,Ganjar sibuk ke luar Semarang 🤣🤣🤣",jawa tengah sibuk luar semarang,2
@inilahdotcom Kasian Ganjar,kasi,2
@DoankWarto Buzer Ganjar cumak percaya survey bayaran @yunartowijaya @saiful_mujani .,buzer cumak percaya survey bayar,0
"di Jateng aja juga Gak Gampang,Butuh Presiden untuk Naikkan Citra Ganjar 🤣🤣🤣",jateng gampang butuh presiden naik citra,1
"@KakekHalal Yg merubah prinsip itu cuma duit &amp  jabatan, atau gimn mas @budimandjatmiko ? tp sy berkeyakinan ini bagian dr upaya menyatukan ganjar- prabowo. Kl sama2 ingin melanjutkan karya jokowi ya ngapaian jd lawan kan ??? Biar 1 xputaran &amp  hemat uang negara",rubah prinsip duit jabat gimn saya yakin bagi upaya satu kalo lanjut karya ngapaian jadi lawan xputaran hemat uang negara,2
@Ganjaran_app @ganjarpranowo pak ganjar selalu di hati,hati,1
@democrazymedia Jateng stadion mewah hasil ganjar aja gak ada,jateng stadion mewah hasil,1
@Ganjaran_app @ganjarpranowo pak ganjar keren banget,keren banget,1
@Ganjaran_app berantas korupsi bersama pak ganjar,berantas korupsi,2
@Ganjaran_app @ganjarpranowo pak ganjar calon pemimpin terbaik,calon pimpin baik,0
"@PetitahP Mempertahankan kedaulatan Negara dengan mengandalkan pesawat bekas dibeli dengan nilai fantastis, apakah orang seperti bisa diandalkan ? Ini lho capaian Pak Ganjar https://t.co/dJ96MXF1lQ",tahan daulat negara andal pesawat bekas beli nilai fantastis orang andal capai,1
@Dunianyasantai @MayaA62580468 garis vertikal ama horisontal aja lu nggak bisa bedain  kalau ada orang atau tokoh dari Partai PKS berkomentar miring atas pilihan kemeja Garis Hitam Putih  artinya Kemeja Garis Hitam Putih adalah 100 % benar  Hitam putih itu punya makna jelas yaitu Sikap Politik yg tidak abu-abu https://t.co/HMQNBNVbqY,garis vertikal sama horisontal kamu bedain orang tokoh partai komentar miring atas pilih kemeja garis hitam putih arti kemeja garis hitam putih benar hitam putih punya makna jelas sikap politik,2
@bintangku206 @aniesbaswedan @Twitter Smakin bodoh.. Bkin poling di di followers yg se frekwensi aja masih ada pemilih ganjar dan prabowo di kalangan kalian sndiri??? Makin yakin tidak milih anies klo gt harusnya... Dlm rumahbkalian sndiri aja g menang 100%,smakin bodoh bkin poling followers frekwensi pilih kalang sendiri yakin milih kalau dalam rumahbkalian sendiri tidak menang,1
@KakekHalal Hahahaha...makin panik loe...makan tu tai ganjar ama lu🤣🤣🤣,hahahaha panik kamu makan sama kamu,2
@Tan_Mar3M @yusuf_dumdum Ganjar punya kekuasaan wilayah dan terbukti berhasil. Lha prabowo untuk mendulang suara aja masih nebeng pak Jokowi yang plonga plongo. Ra isin,punya kuasa wilayah bukti hasil dulang suara nebeng plonga plongo isin,0
"@Edwinbalox_69 @PDI_Perjuangan Siapapun bebas mengajukan Premis yg merupakan FAKTA TERBUKA. Soal PDIP menang Bersama JOKOWI Ya. Mari kita lihat apakah nanti masih Menang bersama Ganjar si Pengkhianat Pakde JOKOWI, yang demi syahwat dapat Tiket Capres , Tega Menikam Jokowi dari Belakang. Let's see !",bebas aju premis fakta buka soal pdip menang lihat menang khianat pakde syahwat tiket capres tega tikam belakang,0
Relawan Ganjar GP Nusantara NTB Bidik Milenial dan Gen Z https://t.co/YiGlUuQQT6,rawan nusantara bidik milenial,1
Sandiaga Ingin Ajak Ganjar dan Prabowo Liburan ke Danau Toba https://t.co/iRijLhAo5X,sandiaga ajak libur danau toba,0
Masyayikh dan habaib bersama Ganjar membangun Indonesia di 2024.  #GanjarCapres https://t.co/I0XlQ2Kbry,masyayikh habaib bangun indonesia,0
"Dalam pertemuan tersebut, Ganjar bersama para relawan serentak memakai kemeja bermotif garis hitam dan putih. https://t.co/kd8EJRdmvT",temu rawan serentak pakai kemeja motif garis hitam putih,0
@Miduk17 Apakah akan klasifikasinya juga seheboh saat pencopotan spanduk Pak Ganjar...?🤭,klasifikasi heboh copot spanduk,0
"@ganjarpranowo Atos atos Bapak Ganjar.. Saat warna hitam dan putih bersinergi bisa menjadi warna kolaboratif baru ABU ABU""""",atos atos bapak warna hitam putih sinergi jadi warna kolaboratif baru,1
"@seruanhl ini strategi pdip untuk memenangkan prabowo, ganjar hanya untuk pemecah suara anis.... jika anis kalah di putaran pertama, di putaran ke dua mereka akan jadi koalisi besar, dan ganjar jadi Wapres nya.... sdh bisa di baca",strategi pdip menang pecah suara anis anis kalah putar pertama putar jadi koalisi besar jadi wapres baca,1
@Ganjaran_app @ganjarpranowo Yakin bgt pak ganjar jadi presiden 2024,yakin banget jadi presiden,1
@Ganjaran_app @ganjarpranowo sayang sama pak Ganjar deh,sayang,1
@Ganjaran_app @ganjarpranowo keren pak Ganjar,keren,1
@Ganjaran_app @ganjarpranowo merakyat sudah pasti pak ganjar,rakyat,1
@Ganjaran_app @ganjarpranowo pak ganjar emang luar biasa,memang luar,1
@Ganjaran_app @ganjarpranowo emng beda bgt pak ganjar,memang beda banget,1
@Ganjaran_app @ganjarpranowo hal yang seperti ini semakin yakin bahwa pak Ganjar yang akan memimpin Indonesia,yakin pimpin indonesia,1
"@KompasTV Disini masalahnya adalah unsur KKN nya,,wajar saja dipecat,saya mendukung kebijakan ganjar,bagaimana pun ini celah korupsi",masalah unsur wajar pecat dukung bijak celah korupsi,1
@ganjarpranowo Siaaap bergerak menangkan Ganjar Pranowo dg kostum garis hitam putih,siaaap gerak menang kostum garis hitam putih,0
@Ganjaran_app @ganjarpranowo Mari kita semangat memperjuangkan ganjar sebagai presiden pilihan rakyat indonesia,semangat juang presiden pilih rakyat indonesia,2
@DokterTifa Mas Haji Ganjar lawan pak Haji Prabowo bakalan seru kayaknye kak wkwkwkwk,haji lawan haji seru kayaknye wkwkwkwk,1
"@VIVAcoid waduh parah ini parah sekali, mas jend besar Soedirman di samakan dg ganjar, rendah sekali, beda jauh Jendral Besar Soedirman itu pejuang kemerdekaan yg jiwa raganya di pertaruhkan utk KEMERDEKAAN bkn jabatan, woi !?! kalau ganjar yg di kejar jabatan woi !?! beda jauh !!!!",parah parah jend besar soedirman sama rendah beda jauh jendral besar soedirman juang merdeka jiwa raga taruh merdeka bukan jabat kejar jabat beda jauh,1
@Ganjaran_app @ganjarpranowo pak Ganjar begitu di cintai rakyatnya,cinta rakyat,1
@Ganjaran_app @ganjarpranowo terbukti banget pak ganjar sangat merakyat,bukti banget rakyat,1
@Hansunriko @ganjarpranowo Ganjar penerus Jokowi,terus,0
@Ganjaran_app @ganjarpranowo yang bener emang milih pak Ganjar aja 👍,benar memang milih,2
"Mantul letkol...TNI Harus Netral... Dituding Mengintimidasi,Letkol Edi Purwoko yang Perintahkan Copot Baliho Ganjar Pranowo Beri Pengakuan, Katanya... https://t.co/bTtOxufgTj",mantul letkol netral tuding intimidasi letkol purwoko perintah copot baliho beri aku kata,1
"@KompasTV Bikin kaos buat ganjar, kirim anak buah buat ketemu prabowo. Mainannya vulgar. Ga elegan.",buat kaos kirim anak buah ketemu main vulgar elegan,0
"@ganjarpranowo Alhamdulillah, padahal tabrakannya ngeri ... Sehat selalu Pak Ganjar agr selalu mampu melindungi &amp  membantu rakyat Indonesia",alhamdulillah tabrak ngeri sehat lindung bantu rakyat indonesia,0
Jokowi Ogah Wariskan Proyek Mangkrak ke Prabowo-Ganjar-Anies! - CNBC Indonesia #Prabowo #BangkitBersama https://t.co/tkkX5aohHB,mau waris proyek mangkrak cnbc indonesia,1
Berita Prabowo :  Ganjar dan Prabowo Subianto Terus Berebut Pengaruh Jokowi - https://t.co/TBun8d47AS #Prabowo #BangkitBersama https://t.co/TrVPw7A8oS,berita terus rebut pengaruh,1
Berita Prabowo :  Jokowi Ogah Wariskan Proyek Mangkrak ke Prabowo Subianto-Ganjar-Anies! - CNBC Indonesia #Prabowo #BangkitBersama https://t.co/HDlmI8XtYn,berita mau waris proyek mangkrak cnbc indonesia,1
Roundup: Kemeja Garis Hitam Putih 'Milik' Ganjar Pranowo https://t.co/mz8MwPHZux,roundup kemeja garis hitam putih milik,2
Presiden Jokowi sepakat dukung Ganjar  #GanjarBerikanKemajuan #ganjarpilihanterbaik #GanjarPranowo #GanjarFor2024 #PemiluSerentak2024 #Pemilu2024 #LikeForLikes #Trending #FolloMe https://t.co/piCV6zSgXW,presiden sepakat dukung,2
@newIding30 Yup  Dukung Ganjar untuk RI1 👍,dukung,2
@ekowboy2 Kebalik Blok Eko Goblok. Ganjar Elektabilitas teratas ngapain panik. Tu Junjungan Lo WAN AIBON Yang panik. WAN NGIBUL terancam gagal nyapres karena koalisinya bubar,balik blok bodoh elektabilitas atas sedang apa panik junjung kamu aibon panik bohong ancam gagal nyapres koalisi bubar,1
@BungDenni @PartaiSocmed @ganjarpranowo @susipudjiastuti Haha ha bodol otak ya,tertawa tertawa bodol otak,1
"@Miduk17 Makanya jadi orang nurut jgn ngeyel duk miduk, nih ganjar aja masih dikasih kampanya gratis di kota samsat seluruh jawa tengah, untung pendukung capres lain gak ada yg minta copot 🤭 https://t.co/FxzVpDI18I",jadi orang nurut jangan ngeyel miduk kasih kampa gratis kota samsat jawa tengah untung dukung capres minta copot,2
"@MichelAdam9191 Itu sudah betul kalau diturunkan, relawan Ganjar jangan arogan.",betul turun rawan arogan,2
Ganjar Pranowo Pemimpin yang dekat dengan para ulama  #GanjarBerikanKemajuan #ganjarpilihanterbaik #GanjarPranowo #GanjarFor2024 #PemiluSerentak2024 #Pemilu2024 #LikeForLikes #Trending #FolloMe https://t.co/1K9PPc2HRo,pimpin ulama,0
"@ahlansarifudin6 @KompasTV Njir... Pungli berkedok infak itu cok, udh tepat it langkah pak ganjar",njir pungli kedok infak udah tepat langkah,0
@03__nakula Baliho Ganjar mengganggu pemandangan- ngeliatnya org jadi mikirin pilem porno.   Klo baliho prabowo kagak. Wkwkwkwk,baliho ganggu pandang ngeliatnya orang jadi mikirin pilem porno kalau baliho wkwkwkwk,0
@Restty_cayah @jokowi yaelah kadrun masih aja posting issue murahan seperti ini ...... saat ini ramenya capres drun .... ganjar vs prabowo ...... eh anies juga ya ? 🤣🤣🤣,yaelah kadrun posting murah ramenya capres drun,0
@__AnakKolong __Woiii.... @PetitahP yang bisa menentukan jadi apa tidak pk Ganjar jadi presiden itu Masyarakat .  __Trimedya atau efensi cs BUKAN penentu jadi apa tidaknya ..  🤘🤘,woiii tentu jadi jahat kelamin jadi presiden masyarakat trimedya efensi tentu jadi tidak,0
"@Mdy_Asmara1701 Pak Ganjar, ini materi kampanye nih",materi kampanye,2
Christine Hakim Baca Puisi Bung Karno di Acara Relawan Ganjar https://t.co/97jkbP8mzH,christine hakim baca puisi bung karno acara rawan,0
"Baihaki mengemukakan, elektabilitas Prabowo Subianto berada di angka 33,7 persen disusul Ganjar Pranowo 30,5 persen, dan Anies Baswedan di angka 23,3 persen.  https://t.co/Kt2rXACfuj",baihaki muka elektabilitas ada angka persen susul persen baswedan angka persen,1
Ganjar Ungkap Baju Garis Lurus Didesain oleh Jokowi https://t.co/Aul23Stbi0,ungkap baju garis lurus desain,0
@VIVAcoid Jend. Sudirman nggak kenal sama kakek Sugiono lha Ganjar pasti kenal siapa kakek Sugiono 🤭,jend sudirman kenal kakek sugiono kenal kakek sugiono,2
Ganjar Pranowo Sebut Relawan Punya Andil Besar dalam Pemilu https://t.co/q4hyS24Qqw,sebut rawan punya andil besar milu,2
"@DokterTifa Capres yg mendukung atau didukung Amerika, sangat rawan membuat Indonesia mundur. Pilih Ganjar yg pasti bisa membawa Indonesia maju. https://t.co/bPvTKHGgPi",capres dukung dukung amerika rawan buat indonesia mundur pilih bawa indonesia maju,1
"@kurawa Kenapa pak @ganjarpranowo gak milih baju dasar merah aja ya, kan di manchunian, fans MU, sedang garis garis putih hitam itu Jersey Juventus, jangan jangan pak Ganjar Juventini",milih baju dasar merah manchunian fans garis garis putih hitam jersey juventus juventini,2
