,Influencer,Radio,SocialMedia,TV,Sales
106,Nano,25.26070742,6.765663894,86.0,307.6190894
107,Nano,26.03598627,3.290816886,63.0,225.4862319
108,Nano,28.03820883,2.924281836,93.0,333.9664321
109,Macro,32.14620508,4.61092529,94.0,334.6459156
110,Macro,21.84654391,2.64241023,63.0,222.4683071
111,Nano,17.46901907,4.337634178,30.0,105.1853123
112,Micro,7.291955516,2.317959067,18.0,62.31766345
113,Micro,3.426021221,0.00317676,24.0,86.11553566
114,Macro,14.88018119,2.367556821,56.0,197.225133
115,Macro,17.42884965,3.306706147,40.0,143.8359148
116,Micro,29.56295098,2.060719698,74.0,263.105633
117,Mega,14.56589504,1.9982184,52.0,182.9860143
118,Macro,20.22086793,4.540904518,74.0,267.7373384
120,Micro,15.3541893,1.049369556,70.0,250.7513879
121,Mega,33.87824351,8.091610987,99.0,356.5821434
122,Nano,15.21523612,1.501445964,42.0,145.2164746
123,Mega,31.79693826,2.16250238,85.0,303.397391
124,Macro,8.872274678,1.605213404,38.0,132.3443679
125,Macro,15.43267247,3.9865702,30.0,104.5039262
126,Micro,21.03218038,5.087016957,49.0,174.5641128
127,Mega,6.447508155,1.415638249,27.0,96.43343282
128,Mega,4.561312156,1.652759623,30.0,104.1503565
129,Mega,36.57380821,5.273156173,100.0,354.7973747
130,Mega,1.380311071,5.286680958,21.0,80.94072509
131,Macro,18.90360911,4.889993447,38.0,131.1015188
132,Micro,9.722746017,0.903060425,39.0,135.5443199
133,Micro,4.828279786,0.28603859,14.0,49.18778559
134,Mega,18.378401,1.320080106,40.0,141.3801238
135,Macro,17.44947546,0.887761603,33.0,119.3308074
136,Nano,26.00963987,1.495600762,88.0,321.0466894
137,Mega,28.48182095,1.520803886,67.0,240.4027581
138,Nano,20.06155575,3.529274197,65.0,226.9989318
139,Micro,30.73728576,8.980234377,95.0,341.4281402
142,Nano,31.6532001,7.776978403,77.0,273.9603772
143,Mega,21.43851856,5.708104984,70.0,249.3019048
144,Mega,16.19365273,0.792203039,34.0,117.0546557
145,Macro,13.45217597,1.50308216,59.0,208.7495053
146,Macro,12.1555835,0.932529328,30.0,106.0995933
147,Micro,22.38968684,1.506105779,68.0,243.0816632
148,Micro,8.573864534,3.298362157,43.0,156.9537519
149,Mega,8.477135293,0.608817354,18.0,61.70848657
150,Nano,33.9556193,4.479871088,84.0,299.3466037
151,Micro,28.38518716,6.157704568,61.0,222.4507601
152,Micro,11.88643795,1.558209074,24.0,82.54907175
153,Nano,8.715248318,0.181466489,41.0,144.5920869
154,Micro,18.30464111,4.895171905,67.0,234.021177
155,Nano,24.00692574,4.152022007,51.0,183.3277351
156,Micro,36.73413489,7.359714283,100.0,354.1039697
157,Micro,18.94795499,2.229813818,44.0,160.5796388
158,Nano,0.758569411,0.527880863,10.0,35.54799802
159,Nano,1.397371107,1.444591132,21.0,77.54794767
160,Micro,5.471955572,0.672964457,32.0,110.3748636
161,Nano,31.36391464,5.657550436,98.0,351.4266721
162,Macro,4.856123013,0.874163256,39.0,131.0772545
164,Micro,19.63906306,0.795725948,40.0,146.1456862
165,Mega,19.01537456,6.543306951,44.0,153.5822256
166,Nano,24.87104934,5.036281432,49.0,174.9861639
167,Macro,30.11726533,3.357794085,78.0,278.955153
168,Mega,20.42365468,4.346777364,49.0,178.3746767
169,Mega,22.37478299,5.066577857,55.0,197.0111372
170,Nano,22.86737608,0.968984226,73.0,261.0908818
171,Nano,17.39877506,4.007447145,58.0,204.099035
172,Micro,23.43478708,5.914866129,82.0,288.0207452
173,Macro,10.33353047,1.130122514,27.0,97.61236339
174,Mega,29.34460985,3.436481014,94.0,336.3726161
175,Mega,23.29045109,5.671686076,69.0,245.979961
176,Nano,37.09705521,7.596290451,94.0,334.643793
177,Micro,23.80856837,3.766603039,70.0,246.4947988
178,Macro,27.46149343,1.524062069,88.0,312.1429635
179,Macro,23.08148805,3.056298128,64.0,219.5681841
180,Micro,11.78254265,2.956726836,39.0,138.3753078
181,Macro,37.73241144,7.72405273,99.0,349.0483366
185,Macro,30.49815694,8.823311925,94.0,331.4840935
187,Nano,8.840112507,0.962941668,36.0,125.3870645
188,Macro,26.40676494,2.475101624,78.0,271.0264376
190,Macro,6.313173395,1.310027864,44.0,152.8312537
191,Nano,27.88320654,7.467941688,79.0,282.7480985
193,Macro,15.26673306,2.205879856,26.0,88.96782897
194,Mega,8.197932469,2.119872253,17.0,63.25378214
196,Nano,8.077501591,0.013230147,13.0,48.30375112
198,Micro,3.556576557,0.360014914,12.0,37.24327179
199,Micro,3.785254654,1.569644569,11.0,45.55251127
201,Micro,13.22123736,3.660566126,39.0,135.7731514
202,Nano,27.14817277,4.409399375,86.0,308.3930492
204,Macro,26.19267329,4.127600897,76.0,269.6030059
205,Macro,13.36586735,0.012138363,33.0,116.2374967
207,Micro,28.40915338,4.085216067,83.0,292.857168
209,Nano,10.25291621,0.86532872,37.0,135.5300789
211,Macro,16.70376892,1.888403291,92.0,325.5137107
213,Mega,30.37270595,5.94611293,94.0,334.0892379
215,Mega,3.438824491,0.749518789,27.0,97.50795879
216,Macro,19.04450325,2.715095722,53.0,191.6180402
217,Mega,28.4645976,5.545684409,73.0,256.4252258
218,Mega,26.39407008,3.83736988,78.0,279.5906387
219,Macro,25.68728652,6.903109247,59.0,209.8956538
220,Mega,15.72633981,5.470316628,44.0,159.6309441
222,Nano,33.67469531,8.243045066,82.0,290.0198478
223,Nano,14.16232438,4.388114516,47.0,170.1261872
224,Micro,3.598474281,4.325620528,22.0,78.81257166
225,Macro,24.89028294,3.531093274,78.0,277.0940713
227,Macro,9.809647258,2.175099221,15.0,51.15173712
228,Micro,36.13477932,6.812528936,78.0,275.8154126
229,Micro,19.10204333,4.773049696,63.0,225.791715
230,Nano,12.22739961,1.306053839,45.0,162.3039063
232,Micro,8.843924649,0.104810858,31.0,111.1277488
233,Nano,2.201752448,0.376547887,23.0,80.45443519
234,Macro,4.894410734,0.147196027,19.0,69.99070666
235,Nano,11.90789251,1.958036191,40.0,138.6769979
237,Macro,5.392624287,0.020639976,35.0,118.5011567
238,Micro,20.77468172,6.259153285,63.0,229.0903237
239,Nano,23.80959139,1.915047092,78.0,276.9190626
240,Mega,22.27671374,3.290079821,91.0,322.6677652
241,Mega,16.60931402,5.15906663,44.0,157.490072
242,Mega,12.25135762,1.463118167,16.0,56.81533661
243,Nano,12.7084063,5.838251913,40.0,139.792394
244,Nano,21.43888957,3.147751404,60.0,212.1691189
245,Micro,16.31903668,0.463311511,49.0,177.5025509
246,Mega,26.02394936,3.116428483,71.0,253.9861099
247,Nano,21.27291211,3.385121455,59.0,215.9054823
248,Macro,33.29585958,1.229454172,92.0,327.6536439
249,Mega,19.01558716,5.895165277,60.0,214.4576138
250,Nano,10.93200857,1.867646115,28.0,97.20055286
251,Micro,9.197032332,3.246667727,29.0,99.10933661
252,Nano,31.70701011,4.365166691,97.0,347.1547599
253,Mega,9.398839224,3.206508472,11.0,41.35123045
254,Nano,13.76198317,2.502653025,49.0,173.1550912
255,Mega,4.338843042,0.028073247,38.0,139.8343646
256,Nano,12.38447814,1.637157501,18.0,65.125304
257,Nano,10.01903472,0.191093711,42.0,152.9496029
258,Mega,32.31926372,6.494517858,76.0,270.6378511
259,Mega,29.91962703,6.312902998,86.0,303.6096465
260,Nano,30.47388738,5.704360367,70.0,248.0514829
261,Macro,24.36246064,5.463176008,69.0,239.7328932
262,Nano,14.59516994,0.573235814,47.0,162.1479537
263,Micro,17.87483166,3.918941935,46.0,167.5332259
264,Micro,33.5556744,5.401715328,98.0,343.7047069
265,Mega,18.31721305,5.106410106,63.0,222.4538087
266,Mega,15.81007671,0.495169721,66.0,229.5582512
267,Nano,21.43025018,3.608351353,76.0,269.0373261
268,Nano,12.84827976,2.810375342,12.0,42.65152205
269,Micro,38.27143199,8.586450249,75.0,263.5238127
270,Nano,25.24181707,5.969538042,85.0,296.2485996
271,Nano,3.188668313,0.276135877,12.0,46.84859882
272,Macro,33.5117751,4.663526779,90.0,322.4697556
273,Macro,35.4551909,4.091396616,88.0,312.3107698
274,Mega,18.81472652,3.041468747,35.0,123.9521411
275,Nano,26.11806108,4.020019107,89.0,320.5882954
276,Nano,22.45001505,3.389499568,54.0,188.8286445
277,Mega,1.095054697,1.784711655,16.0,55.33417257
278,Mega,32.07909439,4.158338824,98.0,342.6522282
279,Mega,7.989787362,0.508955059,23.0,84.70733843
280,Mega,33.74742661,2.79805324,93.0,333.0773697
281,Nano,17.45288044,3.909853584,52.0,188.1163762
282,Mega,8.301393097,0.297735659,27.0,98.16192205
283,Nano,5.358821718,3.103557138,13.0,47.50814092
284,Micro,21.93601248,4.436259637,83.0,294.4933353
285,Macro,21.57823348,8.87423765,66.0,231.9942926
286,Macro,7.789507227,4.06782199,19.0,62.0795245
287,Mega,23.77346122,4.542661031,85.0,304.9042152
288,Nano,19.71906624,5.481915242,63.0,220.7061299
289,Nano,25.07908112,5.066101233,62.0,225.469526
290,Mega,15.53732896,0.125813206,45.0,157.6872981
291,Mega,6.621635323,0.113631173,23.0,79.93998662
292,Mega,11.36398701,2.32129586,50.0,185.3102927
293,Macro,19.49995648,4.912336165,60.0,216.2681567
294,Micro,13.00455149,5.277124394,25.0,91.95954527
295,Macro,12.22596591,0.397207276,31.0,111.1431062
296,Micro,21.03196536,1.86728813,77.0,275.3886734
297,Nano,9.235845656,2.963209488,27.0,93.35175941
298,Macro,25.58343965,3.870991902,77.0,276.0838978
299,Micro,25.54636769,1.963490079,95.0,333.3682547
300,Micro,25.37723103,3.997027881,48.0,172.8854592
301,Micro,4.643175727,0.637375788,14.0,53.97461493
302,Macro,4.014313143,1.258968767,24.0,91.49656896
303,Mega,23.29031005,7.389827731,65.0,229.1969742
304,Nano,9.531452188,0.103503553,35.0,125.3393415
305,Micro,24.29320314,8.041212299,86.0,306.6065875
306,Nano,14.41875328,3.117413536,48.0,170.2833159
307,Micro,19.34086431,1.602340512,59.0,210.5717703
308,Nano,26.30065656,4.204039947,88.0,314.1805472
309,Mega,23.32245121,3.866739527,78.0,280.8316239
310,Micro,31.05740864,3.806952761,79.0,286.677508
311,Macro,1.060644401,1.093882341,22.0,73.09318596
312,Macro,17.61333015,3.480429694,46.0,160.6150905
313,Micro,23.77898268,2.930681192,83.0,295.4915271
314,Macro,12.10537618,4.007434704,26.0,94.00245512
315,Nano,2.089999917,0.217752116,34.0,123.1219261
316,Nano,3.497200302,3.337071447,50.0,174.7450326
317,Macro,19.15584406,0.014711851,79.0,281.5928898
318,Nano,25.27194402,7.717105296,75.0,267.8036097
319,Mega,13.45746031,0.91765612,32.0,116.7838444
320,Micro,9.487993613,0.250432849,29.0,105.7767079
321,Nano,36.72307745,3.950392592,96.0,343.0877465
322,Nano,27.96329539,2.837584957,74.0,258.3754265
323,Micro,20.26585723,3.446132597,49.0,171.8566675
324,Mega,16.85678293,3.886005263,34.0,118.9163836
325,Mega,12.22871601,1.749290106,37.0,129.0148388
326,Mega,8.823525102,3.405839489,37.0,132.5496146
327,Macro,15.29205006,3.340436207,59.0,208.2744516
328,Mega,14.11561705,3.328378357,48.0,175.5461581
329,Micro,24.55463481,4.832325799,80.0,285.5962329
330,Nano,5.313706473,2.473598787,28.0,91.49752891
331,Nano,25.52828252,3.140870036,64.0,226.276965
332,Macro,21.17480421,4.486404533,50.0,180.3195365
333,Nano,18.54842127,2.45558294,46.0,164.7562034
334,Mega,24.78624404,6.349962293,86.0,309.2043274
335,Nano,29.59440206,8.243715012,69.0,246.091519
336,Mega,29.50102223,2.518222112,85.0,300.5584458
337,Macro,9.837592493,2.080182174,52.0,183.7118744
338,Nano,17.44304527,5.549219531,54.0,191.0034733
339,Nano,2.249203812,0.395150251,17.0,61.86530832
340,Mega,26.50281649,3.537618612,93.0,331.6478588
341,Micro,24.48397916,5.918985615,85.0,297.0564909
342,Mega,1.505943316,2.438904189,21.0,73.87341975
343,Macro,37.96929695,4.739682162,88.0,314.311367
344,Nano,29.4842347,7.237783972,75.0,268.7997822
345,Macro,3.046308751,1.743629417,38.0,132.3260378
346,Macro,36.36570198,1.944664898,95.0,339.115278
347,Mega,25.28199938,2.798757505,46.0,163.6396214
348,Mega,26.07549862,5.143706423,75.0,269.4449939
349,Mega,10.93089931,3.085375073,64.0,225.0640548
350,Nano,8.978475946,0.05362699,35.0,125.3289243
351,Mega,6.122317863,2.606806497,30.0,104.5246807
352,Macro,27.73800583,5.293540405,86.0,307.8933318
353,Nano,23.18345295,0.762159967,79.0,282.7108546
354,Nano,16.92417111,6.447476349,16.0,54.65466518
355,Nano,22.81607513,4.717042117,63.0,228.4241305
356,Micro,22.76810931,2.964101681,78.0,277.3993307
357,Nano,12.79448447,3.973162998,24.0,86.22925533
358,Nano,14.44535454,1.270283967,34.0,124.595707
359,Micro,14.75867975,0.807413059,36.0,125.0736865
360,Micro,17.61714144,5.116676896,64.0,228.5424705
361,Macro,37.37903665,4.767527236,79.0,281.1147925
362,Micro,7.228354408,5.250181854,11.0,46.52969738
363,Micro,5.120816808,2.205299711,22.0,74.74160402
364,Nano,3.159829936,4.261809686,46.0,161.1829547
365,Mega,15.44552256,0.062410122,49.0,174.556761
366,Mega,8.437964502,2.926366891,39.0,141.5900868
367,Nano,0.857280644,0.218739353,38.0,137.697369
368,Micro,4.037914202,2.876505548,23.0,78.65146156
369,Nano,8.482697909,0.946148453,17.0,58.92532301
370,Macro,17.50937376,3.912910486,57.0,204.4533806
371,Mega,8.822604644,0.388314589,24.0,86.78602638
372,Nano,13.97381157,2.937255499,38.0,133.3876269
373,Mega,13.23675142,0.603918273,55.0,199.1316965
374,Macro,27.93352343,3.978525877,84.0,300.5678307
375,Nano,3.424421953,1.254887329,23.0,82.71102545
376,Micro,21.57160034,0.182594127,25.0,89.0932451
377,Macro,24.02670153,4.468540014,61.0,214.5067384
378,Mega,36.2813941,7.693023889,92.0,334.2548231
379,Micro,14.71875781,5.067918073,52.0,184.2832675
380,Macro,25.04344301,7.954162784,42.0,151.1302268
381,Mega,26.26344606,4.66625435,87.0,314.0867756
382,Nano,3.511058483,1.668667492,23.0,82.1296575
383,Micro,1.114215614,0.124305507,16.0,55.74975786
384,Macro,31.59758582,6.09616703,97.0,345.6002412
385,Mega,22.12318389,4.548473435,83.0,301.0213397
386,Micro,7.235169671,4.165978174,32.0,114.2225515
387,Mega,30.51678552,4.253765851,81.0,286.3361747
388,Mega,35.74400862,8.48557931,81.0,290.1991827
389,Nano,9.445032076,0.904710414,32.0,115.3592435
390,Nano,11.04100773,0.581803233,24.0,82.90996955
391,Mega,28.27465769,2.404138725,93.0,328.3217343
392,Mega,20.59744192,5.687517289,52.0,183.6120012
393,Nano,2.027718364,0.54277143,21.0,70.90876724
394,Macro,7.888210849,3.998362072,15.0,53.54400783
395,Mega,19.93974943,1.581668395,62.0,222.4692477
396,Mega,14.76514666,4.973730489,45.0,159.8115953
397,Micro,29.28103583,4.182346523,84.0,300.7539331
398,Mega,8.46670897,4.076583625,12.0,41.86991628
399,Mega,23.16259764,2.051333546,66.0,238.3714378
400,Mega,21.68478521,4.362889043,71.0,253.4613277
401,Nano,2.763161925,1.491292036,30.0,108.7079901
402,Nano,36.13679466,8.724352447,96.0,340.7979819
404,Mega,13.62383917,1.081630027,61.0,218.7967423
405,Nano,31.2965668,6.268563747,88.0,312.2336302
406,Micro,25.72170247,3.653918832,95.0,338.7265651
407,Macro,17.77874558,6.010796578,32.0,108.8352652
408,Mega,3.159149146,1.838038355,23.0,84.46857638
409,Macro,11.84308384,1.411744529,19.0,63.78917282
410,Macro,35.30814816,8.233628806,99.0,347.8821393
411,Micro,17.72849806,1.316670346,21.0,72.79319186
412,Macro,22.64766991,1.815303053,83.0,294.3729329
413,Macro,9.529038854,0.046324514,34.0,122.398031
414,Macro,21.82868204,3.852364912,65.0,226.0680983
415,Nano,11.66685228,3.124114188,42.0,147.6703206
416,Nano,11.74288588,1.545790536,28.0,108.6542411
417,Macro,23.15883778,6.493394974,84.0,301.9796888
418,Macro,31.20063184,5.956147638,74.0,262.0000087
419,Micro,31.49936776,5.37443682,58.0,203.0578945
420,Nano,21.7928057,0.393588978,63.0,223.8418947
421,Micro,21.95980933,0.880593234,46.0,164.791014
422,Mega,24.91648619,4.628289393,51.0,180.3746086
423,Mega,9.352963721,0.606126647,42.0,146.3577853
424,Nano,31.2897755,4.623306125,98.0,343.9400859
425,Macro,10.13781443,3.181971706,18.0,66.54840294
426,Nano,19.46438929,1.767531142,72.0,258.0178365
427,Mega,29.94190176,8.348998109,90.0,320.7153444
428,Macro,13.85470607,3.72361948,47.0,167.0873958
429,Micro,15.25965583,1.938091205,11.0,42.71995548
430,Micro,13.0213872,3.264331675,59.0,211.0777734
431,Macro,15.75874251,1.621958375,49.0,173.0991172
432,Mega,23.28772776,6.650243242,51.0,178.2981283
433,Macro,23.08245994,5.745417559,49.0,173.7272456
434,Macro,25.7813623,5.715407905,88.0,313.6573391
435,Mega,15.4419208,0.064057634,49.0,175.7308268
436,Mega,5.092818753,1.400162555,21.0,81.00013719
438,Micro,4.027757616,0.216286524,13.0,44.06889906
439,Nano,11.31363936,1.457213766,55.0,192.8000619
440,Mega,18.96636214,4.058402635,73.0,260.8904476
441,Micro,19.83138083,2.825675852,47.0,170.979336
442,Macro,16.2792597,5.187613793,34.0,119.4727749
443,Mega,26.23075658,4.307673455,98.0,347.5747397
444,Micro,29.40183996,0.883780673,72.0,255.2829028
445,Macro,28.35102374,6.541167803,59.0,210.3998707
446,Mega,33.99232228,5.781691282,88.0,311.6077516
447,Nano,31.21314927,6.894316975,94.0,334.3205757
448,Nano,13.72729882,3.332910977,55.0,201.1568419
449,Nano,10.72553038,0.564039183,23.0,80.78641866
450,Micro,16.10084562,3.055372489,63.0,224.1978986
451,Nano,7.047015203,4.181179206,31.0,107.972791
452,Micro,11.53545476,3.91664274,29.0,103.8823237
453,Macro,38.47062883,5.793620023,100.0,358.3505386
454,Macro,6.286843929,0.13183582,21.0,71.40097342
455,Macro,0.388039549,1.104823047,15.0,52.03837385
456,Macro,13.47689876,3.355966243,63.0,226.1354247
457,Mega,27.20006849,8.702652377,43.0,153.6567212
458,Mega,42.33165435,8.486323788,97.0,348.3927363
459,Macro,9.057538981,1.480035413,19.0,69.36480656
460,Nano,32.40065311,3.784145331,100.0,355.0516262
461,Mega,11.56312736,1.926692956,62.0,220.6092421
462,Nano,7.258206804,4.58201222,37.0,131.7305548
463,Nano,25.02655962,4.133996812,88.0,314.9454726
464,Nano,8.177614367,3.447205649,33.0,119.4005846
465,Nano,5.264623343,2.531732224,37.0,130.9591588
466,Mega,23.9153958,3.955480444,66.0,240.6929268
467,Macro,20.55638571,2.57738922,79.0,281.2953957
469,Macro,14.10622944,0.750124734,43.0,146.5321116
470,Nano,27.24136991,4.250422344,61.0,214.4367376
471,Micro,30.66125373,7.211115245,81.0,291.1435571
472,Macro,8.797291422,2.409158219,17.0,61.21910758
473,Micro,25.22566644,3.061937926,90.0,321.0701137
474,Macro,5.735731245,2.354334527,16.0,58.20951843
475,Micro,19.77617983,3.217632434,68.0,240.8030093
476,Mega,32.72547832,8.829536236,90.0,319.4375263
477,Macro,22.23934576,8.19479117,61.0,214.3964426
478,Mega,10.57992982,0.064459595,32.0,117.0207161
479,Nano,12.99586641,0.270843681,29.0,107.4545729
480,Micro,31.4612923,1.744870623,92.0,330.0147603
481,Macro,29.60111386,6.481908539,82.0,292.2098585
482,Mega,7.47427064,0.440111075,24.0,84.23363563
483,Micro,18.09700717,0.102153377,45.0,160.4351038
484,Nano,24.06207496,1.540092049,81.0,292.5465306
485,Mega,28.16502069,6.91914746,90.0,322.2334226
486,Nano,27.59890985,3.606600914,62.0,218.2020915
487,Micro,17.65544444,2.395348967,43.0,154.2261706
488,Micro,19.13141921,6.834952137,68.0,240.226864
489,Nano,6.416720778,2.258860613,20.0,66.76720286
490,Mega,6.359354009,0.7043668,45.0,159.7073365
491,Macro,15.52766221,2.055274228,60.0,210.9051685
492,Macro,9.150564563,4.636304292,17.0,56.48493055
493,Mega,20.34673491,5.491167097,22.0,76.96167134
494,Macro,4.799850688,0.570028459,24.0,90.33315235
495,Micro,17.73673383,2.094383195,56.0,201.0215385
496,Micro,6.101045822,3.262967852,36.0,136.9397266
497,Micro,3.518069641,2.293790324,15.0,55.26128448
498,Nano,15.66926662,1.086781261,44.0,153.1171757
499,Micro,17.83664974,5.109696734,26.0,91.75121422
500,Nano,37.403986,6.441653552,100.0,354.5724021
501,Mega,5.417999563,4.626973896,21.0,72.73897901
502,Micro,26.58627729,4.520665601,62.0,222.122981
503,Macro,12.50160407,1.247269966,41.0,148.4917921
505,Macro,31.02302738,7.352545034,88.0,318.149536
506,Mega,5.384656349,0.63199073,25.0,83.57435437
507,Mega,7.388485707,0.120490397,14.0,49.97649711
508,Macro,31.35903037,6.512735644,100.0,355.5244546
509,Macro,7.277728631,0.277136782,42.0,146.9372915
510,Macro,21.46940881,1.186421596,54.0,197.6658547
511,Micro,10.05141481,0.156850984,23.0,82.3199865
512,Nano,12.01934706,4.631654336,44.0,160.0522949
513,Macro,17.78260917,3.773452773,46.0,170.7813251
514,Micro,28.00048104,7.370702567,69.0,243.0910198
515,Micro,19.95572923,5.245123382,55.0,197.7353291
516,Macro,9.100429136,2.705529895,40.0,147.5935729
517,Nano,13.9310362,3.935940555,40.0,143.1728885
518,Macro,16.36000105,3.914305454,48.0,166.6182043
519,Macro,17.06761498,3.299867282,70.0,248.668284
520,Macro,24.97844292,2.640894757,99.0,355.5253057
521,Mega,24.18358539,4.736877628,72.0,249.4279628
522,Macro,12.07216987,4.381532375,49.0,176.8355255
523,Macro,26.31231351,5.591730811,74.0,264.5447223
524,Macro,6.837294843,2.314950178,17.0,61.65362493
525,Macro,30.24576552,6.376378066,88.0,313.2604593
526,Micro,26.66674418,3.698028588,61.0,215.7972985
527,Micro,7.430197108,1.294086175,13.0,44.84905295
528,Nano,18.80608405,1.052299168,45.0,156.5741622
529,Micro,9.960473773,0.904872702,50.0,179.7250572
530,Macro,23.17995162,4.492850796,33.0,120.6552943
531,Macro,1.228081695,1.523414744,12.0,33.50980953
