full_text,class
"Ganjar Bertemu Masyayikh dan Habaib se-Indonesia di Rembang.  Pertemuan bertajuk Silaturahmi Masyayikh se-Indonesia"" itu untuk berdiskusi, di antaranya membahas soal kemajuan pendidikan hingga rencana pembangunan Ibu Kota Nusantara (IKN). @ganjarpranowo https://t.co/7qkMRSHHSU""",2
"@Dennysiregar7 @budimandjatmiko Sudah lah julpikar dongok, lu hadapi aja kenyataan bahwa si ganjar itu emang g pantas memimpin, gagasan gak ada, prestasi g ada, kemampuan utk diplomasi ke dunia International gak ada, calon boneka megatron, tanya si ade armando apa itu perjanjian batu tulis ganjar mega.",1
"Merakyat, Tegas, Berani, Bersih, Solutif, Kharismatik, Pluralisme, Anti korupsi, Anti radikalisme, anti intoleransi dan Peduli sama rakyat kecil... Itulah Ganjar Pranowo... 👍😁  #2024PilihGanjar #2024GanjarPresidenRI https://t.co/IFYJxWbnUP",1
"Diluar dua putra bangsa terbaik , Ganjar dan Prabowo yang sedang ngetrend , Budiman adalah orang yg ke tiganya Tapi secara kwalitas dan rekam jejak , cuma Ganjar dan Budiman milik PDI P yang terbaik , menurut saya pribadi",1
Sabar pk ganjar  Akan ada orang yg mengkritik baju yg  panjenengan pake untuk kampanye  ya uwes sing sabar kita maklumi karena tidak semua orang suka dan ngerti filosopi makna warna baju yg panjenengan pake termasuk pk mardani alisera https://t.co/yYekekOukp,1
"@Andi_not_death @aan_muba Aneh lu,pak Jokowi kan kader PDIP sama seperti pak Ganjar ya wajar sesama kader saling dukung,, ngandelin orang lain tuh bukan sesama kader tp pingin didukung pak Jokowi 🤭🤪",2
"Kalau PKS kritik artinya itu sudah benar. Karena dimanapun PKS berpihak, maka kita dipihak seberangnya  Mardani PKS Kritik Baju Hitam-Putih Ganjar Karya Jokowi: Kurang Cerah https://t.co/RsS8NTO4ZO",1
Preferensi Panglima Andika terhadap sosok Ganjar 💪👍🇮🇩  || Keisya Mario CONGRATULATION JIN Bali Dingin Binus Suzy Barbie Cabe Oppenheimer MC YEONJUN Park Jihoon ||| https://t.co/8qrCUumhZa,1
"Ganjar bukan super, bukan hebat, bukan sempurna.banyak sekali kekuranganya, tapi data dan fakta membuktikan dia capres terbaik yg ada dan yg bisa membawa Indonesia lebih baik 2024-2029. Jadi pastikan dukung dan pilih di demi Indonesi lebih baik.",2
@__AnakKolong Iya. Kadang kita kecewa. Apa dia berharap capresnya pdi lebih dr Ganjar ?,0
@KakekHalal Apakah Ganjar akan dievaluasi untuk pencapresannya???,1
@Ganjaran_app @ganjarpranowo Ramah bgt dong pastinya pak ganjar,1
@ekowboy2 Pilih Pribumi donk https://t.co/PP1JLzXRtA,0
"Aplikasi Jalan Cantik yang Diluncurkan Ganjar Dipuji Warga: Cepat Responsnya  Kehadiran aplikasi tsb memberikan kemudahan kepada masyarakat untuk membuat laporan, terutama jika dibandingkan dngn sebelumnya ketika masyarakat kerap kesulitan melapor.  Keysia Dingin Bali Tidur Binus https://t.co/l7bSUNe04x",1
"Survei Capres 2024 Terbaru Hari Ini, Elektabilitas Prabowo, Ganjar dan Anies, Siapa Unggul di Jatim?  #Pilpres2024 #capres #Prabowo #Ganjar #Anies #surveicapres  https://t.co/z2haIwYw0l lewat @tribunnews",1
@Ganjaran_app Gen z dukung pak ganjar,1
"Era Gubernur Ganjar Pranowo dan Presidennya Jokowi, Jateng berbenah secara besar2an, pembangunan infrastruktur menelan biaya yang sangat fantastis yaitu sebesar 258,76 T.  Pembangunannya bertahap dan terus berlanjut, ini yang di namakan sinergitas pusat dan daerah.",2
"Silaturahmi merupakan ajaran nabi yang banyak sekali manfaatnya.  Terima kasih para kyai, Gus Mus, Gus Baha, keluarga besar Mbah Maimoen Zubair serta seluruh santri Ponpes Al Anwar Rembang atas segala doa dan dukungannya. . Ganjar Pranowo sosok pemimpin peduli terhadap ponpes dan… https://t.co/GiMdKttQDO",1
@tvOneNews Benarlah kata Rocky Gerung &amp  Noel. Ganjar adlh satu2nya capres di alam semesta ini yg bingung mo ngapain. Ga punya nyali utk bawa gagasan sendiri selain nyusu sama Jokowi &amp  PDIP. Otaknya udah tersandera dr semua arah.,0
@Ganjaran_app @ganjarpranowo Emang pak ganjar tak ada duanya,0
"Jawa Tengah lagi,Ganjar sibuk ke luar Semarang 🤣🤣🤣",2
@inilahdotcom Kasian Ganjar,2
@DoankWarto Buzer Ganjar cumak percaya survey bayaran @yunartowijaya @saiful_mujani .,0
"di Jateng aja juga Gak Gampang,Butuh Presiden untuk Naikkan Citra Ganjar 🤣🤣🤣",1
"@KakekHalal Yg merubah prinsip itu cuma duit &amp  jabatan, atau gimn mas @budimandjatmiko ? tp sy berkeyakinan ini bagian dr upaya menyatukan ganjar- prabowo. Kl sama2 ingin melanjutkan karya jokowi ya ngapaian jd lawan kan ??? Biar 1 xputaran &amp  hemat uang negara",2
@Ganjaran_app @ganjarpranowo pak ganjar selalu di hati,1
@democrazymedia Jateng stadion mewah hasil ganjar aja gak ada,1
@Ganjaran_app @ganjarpranowo pak ganjar keren banget,1
@Ganjaran_app berantas korupsi bersama pak ganjar,2
@Ganjaran_app @ganjarpranowo pak ganjar calon pemimpin terbaik,0
"@PetitahP Mempertahankan kedaulatan Negara dengan mengandalkan pesawat bekas dibeli dengan nilai fantastis, apakah orang seperti bisa diandalkan ? Ini lho capaian Pak Ganjar https://t.co/dJ96MXF1lQ",1
@Dunianyasantai @MayaA62580468 garis vertikal ama horisontal aja lu nggak bisa bedain  kalau ada orang atau tokoh dari Partai PKS berkomentar miring atas pilihan kemeja Garis Hitam Putih  artinya Kemeja Garis Hitam Putih adalah 100 % benar  Hitam putih itu punya makna jelas yaitu Sikap Politik yg tidak abu-abu https://t.co/HMQNBNVbqY,2
@bintangku206 @aniesbaswedan @Twitter Smakin bodoh.. Bkin poling di di followers yg se frekwensi aja masih ada pemilih ganjar dan prabowo di kalangan kalian sndiri??? Makin yakin tidak milih anies klo gt harusnya... Dlm rumahbkalian sndiri aja g menang 100%,1
@KakekHalal Hahahaha...makin panik loe...makan tu tai ganjar ama lu🤣🤣🤣,2
@Tan_Mar3M @yusuf_dumdum Ganjar punya kekuasaan wilayah dan terbukti berhasil. Lha prabowo untuk mendulang suara aja masih nebeng pak Jokowi yang plonga plongo. Ra isin,0
"@Edwinbalox_69 @PDI_Perjuangan Siapapun bebas mengajukan Premis yg merupakan FAKTA TERBUKA. Soal PDIP menang Bersama JOKOWI Ya. Mari kita lihat apakah nanti masih Menang bersama Ganjar si Pengkhianat Pakde JOKOWI, yang demi syahwat dapat Tiket Capres , Tega Menikam Jokowi dari Belakang. Let's see !",0
Relawan Ganjar GP Nusantara NTB Bidik Milenial dan Gen Z https://t.co/YiGlUuQQT6,1
Sandiaga Ingin Ajak Ganjar dan Prabowo Liburan ke Danau Toba https://t.co/iRijLhAo5X,0
Masyayikh dan habaib bersama Ganjar membangun Indonesia di 2024.  #GanjarCapres https://t.co/I0XlQ2Kbry,0
"Dalam pertemuan tersebut, Ganjar bersama para relawan serentak memakai kemeja bermotif garis hitam dan putih. https://t.co/kd8EJRdmvT",0
@Miduk17 Apakah akan klasifikasinya juga seheboh saat pencopotan spanduk Pak Ganjar...?🤭,0
"@ganjarpranowo Atos atos Bapak Ganjar.. Saat warna hitam dan putih bersinergi bisa menjadi warna kolaboratif baru ABU ABU""""",1
"@seruanhl ini strategi pdip untuk memenangkan prabowo, ganjar hanya untuk pemecah suara anis.... jika anis kalah di putaran pertama, di putaran ke dua mereka akan jadi koalisi besar, dan ganjar jadi Wapres nya.... sdh bisa di baca",1
@Ganjaran_app @ganjarpranowo Yakin bgt pak ganjar jadi presiden 2024,1
@Ganjaran_app @ganjarpranowo sayang sama pak Ganjar deh,1
@Ganjaran_app @ganjarpranowo keren pak Ganjar,1
@Ganjaran_app @ganjarpranowo merakyat sudah pasti pak ganjar,1
@Ganjaran_app @ganjarpranowo pak ganjar emang luar biasa,1
@Ganjaran_app @ganjarpranowo emng beda bgt pak ganjar,1
@Ganjaran_app @ganjarpranowo hal yang seperti ini semakin yakin bahwa pak Ganjar yang akan memimpin Indonesia,1
"@KompasTV Disini masalahnya adalah unsur KKN nya,,wajar saja dipecat,saya mendukung kebijakan ganjar,bagaimana pun ini celah korupsi",1
@ganjarpranowo Siaaap bergerak menangkan Ganjar Pranowo dg kostum garis hitam putih,0
@Ganjaran_app @ganjarpranowo Mari kita semangat memperjuangkan ganjar sebagai presiden pilihan rakyat indonesia,2
@DokterTifa Mas Haji Ganjar lawan pak Haji Prabowo bakalan seru kayaknye kak wkwkwkwk,1
"@VIVAcoid waduh parah ini parah sekali, mas jend besar Soedirman di samakan dg ganjar, rendah sekali, beda jauh Jendral Besar Soedirman itu pejuang kemerdekaan yg jiwa raganya di pertaruhkan utk KEMERDEKAAN bkn jabatan, woi !?! kalau ganjar yg di kejar jabatan woi !?! beda jauh !!!!",1
@Ganjaran_app @ganjarpranowo pak Ganjar begitu di cintai rakyatnya,1
@Ganjaran_app @ganjarpranowo terbukti banget pak ganjar sangat merakyat,1
@Hansunriko @ganjarpranowo Ganjar penerus Jokowi,0
@Ganjaran_app @ganjarpranowo yang bener emang milih pak Ganjar aja 👍,2
"Mantul letkol...TNI Harus Netral... Dituding Mengintimidasi,Letkol Edi Purwoko yang Perintahkan Copot Baliho Ganjar Pranowo Beri Pengakuan, Katanya... https://t.co/bTtOxufgTj",1
"@KompasTV Bikin kaos buat ganjar, kirim anak buah buat ketemu prabowo. Mainannya vulgar. Ga elegan.",0
"@ganjarpranowo Alhamdulillah, padahal tabrakannya ngeri ... Sehat selalu Pak Ganjar agr selalu mampu melindungi &amp  membantu rakyat Indonesia",0
Jokowi Ogah Wariskan Proyek Mangkrak ke Prabowo-Ganjar-Anies! - CNBC Indonesia #Prabowo #BangkitBersama https://t.co/tkkX5aohHB,1
Berita Prabowo :  Ganjar dan Prabowo Subianto Terus Berebut Pengaruh Jokowi - https://t.co/TBun8d47AS #Prabowo #BangkitBersama https://t.co/TrVPw7A8oS,1
Berita Prabowo :  Jokowi Ogah Wariskan Proyek Mangkrak ke Prabowo Subianto-Ganjar-Anies! - CNBC Indonesia #Prabowo #BangkitBersama https://t.co/HDlmI8XtYn,1
Roundup: Kemeja Garis Hitam Putih 'Milik' Ganjar Pranowo https://t.co/mz8MwPHZux,2
Presiden Jokowi sepakat dukung Ganjar  #GanjarBerikanKemajuan #ganjarpilihanterbaik #GanjarPranowo #GanjarFor2024 #PemiluSerentak2024 #Pemilu2024 #LikeForLikes #Trending #FolloMe https://t.co/piCV6zSgXW,2
@newIding30 Yup  Dukung Ganjar untuk RI1 👍,2
@ekowboy2 Kebalik Blok Eko Goblok. Ganjar Elektabilitas teratas ngapain panik. Tu Junjungan Lo WAN AIBON Yang panik. WAN NGIBUL terancam gagal nyapres karena koalisinya bubar,1
@BungDenni @PartaiSocmed @ganjarpranowo @susipudjiastuti Haha ha bodol otak ya,1
"@Miduk17 Makanya jadi orang nurut jgn ngeyel duk miduk, nih ganjar aja masih dikasih kampanya gratis di kota samsat seluruh jawa tengah, untung pendukung capres lain gak ada yg minta copot 🤭 https://t.co/FxzVpDI18I",2
"@MichelAdam9191 Itu sudah betul kalau diturunkan, relawan Ganjar jangan arogan.",2
Ganjar Pranowo Pemimpin yang dekat dengan para ulama  #GanjarBerikanKemajuan #ganjarpilihanterbaik #GanjarPranowo #GanjarFor2024 #PemiluSerentak2024 #Pemilu2024 #LikeForLikes #Trending #FolloMe https://t.co/1K9PPc2HRo,0
"@ahlansarifudin6 @KompasTV Njir... Pungli berkedok infak itu cok, udh tepat it langkah pak ganjar",0
@03__nakula Baliho Ganjar mengganggu pemandangan- ngeliatnya org jadi mikirin pilem porno.   Klo baliho prabowo kagak. Wkwkwkwk,0
@Restty_cayah @jokowi yaelah kadrun masih aja posting issue murahan seperti ini ...... saat ini ramenya capres drun .... ganjar vs prabowo ...... eh anies juga ya ? 🤣🤣🤣,0
@__AnakKolong __Woiii.... @PetitahP yang bisa menentukan jadi apa tidak pk Ganjar jadi presiden itu Masyarakat .  __Trimedya atau efensi cs BUKAN penentu jadi apa tidaknya ..  🤘🤘,0
"@Mdy_Asmara1701 Pak Ganjar, ini materi kampanye nih",2
Christine Hakim Baca Puisi Bung Karno di Acara Relawan Ganjar https://t.co/97jkbP8mzH,0
"Baihaki mengemukakan, elektabilitas Prabowo Subianto berada di angka 33,7 persen disusul Ganjar Pranowo 30,5 persen, dan Anies Baswedan di angka 23,3 persen.  https://t.co/Kt2rXACfuj",1
Ganjar Ungkap Baju Garis Lurus Didesain oleh Jokowi https://t.co/Aul23Stbi0,0
@VIVAcoid Jend. Sudirman nggak kenal sama kakek Sugiono lha Ganjar pasti kenal siapa kakek Sugiono 🤭,2
Ganjar Pranowo Sebut Relawan Punya Andil Besar dalam Pemilu https://t.co/q4hyS24Qqw,2
"@DokterTifa Capres yg mendukung atau didukung Amerika, sangat rawan membuat Indonesia mundur. Pilih Ganjar yg pasti bisa membawa Indonesia maju. https://t.co/bPvTKHGgPi",1
"@kurawa Kenapa pak @ganjarpranowo gak milih baju dasar merah aja ya, kan di manchunian, fans MU, sedang garis garis putih hitam itu Jersey Juventus, jangan jangan pak Ganjar Juventini",2
"@Hasbil_Lbs @ganjarpranowo Immanuel Ebenezer. Pengamat Politik.  Ganjar Cuma Capres Boneka, kan boneka tidak ada otaknya.  Nonton Konten porno, apa ini gagasan seorang Pemimpin yg Idealis.  Ganjar tidak punya gagasan untuk masa depan NKRI""  https://t.co/HNZcQa79i1 https://t.co/QnU6wl6911""",2
"@akunke10_212 Do'a saya sebagai orang jawa tengah, ABG alias Asal Bukan Ganjar TITIK",2
"@Miduk17 @mustafaagus007 @ganjarpranowo Itu mmg bener, bukan ngeles. Kok situ ngambekan? Baliho Ganjar sbg gubernur di perkantoran Pemda dan TNI juga aman2 saja",2
"@VIVAcoid Klo nonton sejarah itu memang bagus dan perlu, tp apa dasar sosok  Ganjar punya kesamaan dengan Jend Sudirman?  Saya khawatir, mahasiswa mati akalnya karena jadi korban politik, dimatikan akal sehatnya.",2
"@03__nakula Baliho yang dipasang atas nama Menhan...Bukan calon presiden, jadi masih diijinkan.  Coba pasang baliho ganjar atas nama gub jateng, pasti diijinkan....  Kandangkan orang ini @Puspen_TNI. Sudah sangat menghina TNI.",2
"@ganjarpranowo Nampak jelas, bahwa Ganjar bila nanti menjadi presiden tidak bisa berpikir dan menyelesaikan masalah dengan pemikirannya Sendiri Tapi bergantung kepada Jokowi dan PDIP.  Orang seperti ini jelas tidak pantas memimpin bangsa besar yang penuh dengan berbagai masalah ini.",2
"Sudah mulai me-ramai pilpres 2024. Kalo saya membuka telinga, menyaring kasak-kusuk di bawah, maka, pendukung Jokowi kayaknya banyak yg lari ke Prabowo daripada Ganjar Pranowo. Karena, dari pengamatan, sepertinya untuk jabatan presiden, Prabowo lebih greng daripada Ganjar. Begitu",0
Geli gw lama² liat mimiknya den ganjar...,1
@ganjarpranowo pak ganjar ini tu bagaimana ya kok kota pekalongan kotor bgt kaya ga terawat yo sedih sekali kuliah disini,2
@cs3pm @giribatjo56 @jansen_jsp Mendingan Sule daripada ganjar kalau kayak gini,1
@ganjarpranowo jadi yg mau capres pak Jokowi apa ganjar sih?,2
Ganjar Pranowo dekat dengan ulama https://t.co/hNzPFbi8Dz,0
"Ganjar Pranowo Cerita, Sering Dapat Pesan Isinya Banyak yang Marah https://t.co/3UDA4y6TjG",0
Ganjar Pranowo bersama para ulama https://t.co/HzXEGqShcW,1
@ganjarpranowo Ganjar lgi galau,0
"@ganjarpranowo Itu hanya simbol Pak, coba Pak Ganjar berjanji kalau nanti terpilih jadi Presiden target utk 100 hari pertama adalah menangkap Harun Masiku, berani gak Pak.",1
Ganjar Pranowo bahas ikn dan pendidikan https://t.co/zqcXEnKE41,2
@ganjarpranowo Mantap pakdhe. Ora Ganjar ora nyoblos 😂. Jgn khawatir pak . Jawa timur Jawa tengah full Ganjar menang,2
Ganjar Ungkap Wanti-wanti Jokowi kalau Berhasil Menangi Pilpres 2024 https://t.co/EilDNAQq3R,1
"@vctgratisjogja @DsSupriyady @KompasTV Anda mendukung Ganjar otaknya dimana? Jelas partainya sarang koruptor""",0
@VIVAcoid Bang Ganjar.... minta Link bokep dong....,2
Ganjar Pranowo tingkatkan IPM https://t.co/F2xILAbRcX,0
@ganjarpranowo Pakde Ganjar emg joossss gandos cpt tanggap dgn keadaan,2
Sinyal Kuat Airlangga Hartarto - Ganjar Pranowo #golkar #golkarindonesia #airlanggahartarto #ganjarpranowo https://t.co/soUpkBDLId,0
@cebongdung32338 @yusuf_dumdum Itu politik... Jgn dungu² amat jd rakyat jelata... Kamu tau ga ngomong apa di dalam? Diutus untuk yakinkan prabowo jd wakil ganjar.,2
Ganjar Pranowo bentuk desa anti Korupsi https://t.co/h63Yu9ygS2,0
"@Hasbil_Lbs @ganjarpranowo Purnawirawan TNI - POLRI termasuk Keluarga Besarnya di Jawa Tengah. Mendukung Anies Baswedan pada Pilpres 2024.  Suara Ganjar sudah mulai tergerus di Jateng"" Calon pemimpin yang tidak punya Gagasan dan Wawasan Geopolitik Global. Ganjar seperti boneka hidup. https://t.co/HryBwFe1pm""",2
"Dihadapan Relawannya, Ganjar Pranowo: Ikhlaskan Kalau Ada Bagian Dari Kita Pindah ke Kamar Sebelah https://t.co/4hXn00YYes",0
@Nikmatul_Sg @Dennysiregar7 @Verraagustian_ L3bih keren lgi si ganjar pakai rompi oren e ktp,1
"@BambangNoeryan4 Kalau GANJAR, pasti PAHAM...",2
"@detikcom Kerapatan pola yg digunakan Pak Ganjar &amp  tim kampanye itu berbeda. Klo tim kampanye mmg desainnya sgt mirip dg tahanan Nazi.  Kenapa ngga batik / yg jauh lebih casual bahkan, kan Pak Ganjar suka olahraga, klo desain ini kaya org sakit"" atau karena skrg jrg lari jdinya sakit ya?""",0
"@Cintada16 @jokowi Dulu, pak Jokowi  Syibolnya KOTAK2 Setelah pak Jokowi menang dan tujuan sudah tercapai, sekarang penerusnya Pak Ganjar Syimbolnya dipertegas dengan GARIS garis.",2
Beduke wes di tabuh Pak... siap menjalankan Panggilan utk Negara dan Bangsa serta kemanusiaan...satu Putaran utk Pak Ganjar https://t.co/i6TaWGHser,1
@DoankWarto Kedua bagus … asal bukan ganjar …,0
"Program penyelenggaraan jalan pada 2023 sudah dianggarkan sejak awal tahun. Perbaikan dilakukan dgn sistem pemeliharaan, rehabilitasi dan rekonstruksi jalan. Pemeliharaan sepanjang 2.404,741 Km, sementara rehabilitasi terbagi di 9 Balai Pengelolaan Jalan (BPJ). Selain dari APBD… https://t.co/cCZ8Pj83h5",2
"@KompasTV Aku kurang cocok dengan Ganjar, tapi langkah ini aku setuju. Komite sekolah lebih terasa menjadi alat  kepanjangan (kepala) sekolah daripada penyalur aspirasi ortu wali murid.",0
"@tanyarlfes Sapi busuk aja dibongkar lagi buat dijarah, semiskin itu mental rakyat kita, revolusi mental apaan? @Kemdikbud_RI @jokowi @mohmahfudmd @DivHumas_Polri @PDI_Perjuangan @ganjar",0
"Menguak Baju Kampanye Ganjar Garis Lurus Hitam Putih, Didesain Jokowi hingga Maknanya https://t.co/n2fnpYEgJZ",0
@AndiSinulingga Kurang update nih caleg gagal... Ganjar gak sekali ini copot Kepsek dan kepala dinas....,1
Ganjar mengaku mendapat PR dari Jokowi terkait urusan politik Tanah Air. https://t.co/XTDJFBVsnT,1
Kok kamu aneh?🤣.  Bobby kan dapat tugas bertanya kepada Pak Prabowo bukan kepada Pak Ganjar.,0
@tvOneNews Kalo sudah urusan Ganjar semua cepat bertindak,2
Ganjar Pranowo Pemimpin Terbaik #GanjarPresiden https://t.co/BqS517dNGg,1
Ganjar Pranowo Pemimpin Terbaik #GanjarPresiden https://t.co/xqtktCtgBe,2
Ganjar Pranowo Pemimpin Terbaik #GanjarPresiden https://t.co/mZZP8q9yu8,0
Ganjar Pranowo Pemimpin Terbaik #GanjarPresiden https://t.co/wWp6Cj74Vh,1
Ganjar Pranowo Pemimpin Terbaik #GanjarPresiden https://t.co/NZ3VNlNqK1,0
Ganjar Pranowo Pemimpin Terbaik #GanjarPresiden https://t.co/EZb745snJS,2
"@__AnakKolong Mereka lupa dulu Jokowi juga menghadapi penolakan yg sama dari internal partai, jadi clear jalan dan tantantangan Ganjar mirip Jokowi.👍",2
"@Ganjaran_app @ganjarpranowo Sehat slalu pak Ganjar ....In Sya Allah lancar menuju R1 .....Aamiin yra.""",0
@CNNIndonesia Kalo sdh buat baju tempur ternyata gak jadi Nyalon karena di evaluasi oleh Bu Mega trs gimana Pak Ganjar?,2
