text,target
POLRI AKAN MELAKUKAN RAZIA GABUNGAN TERKAIT BALAS DENDAM KELUARGA GENG MOTOR DAN PELAKU PEMBEGALAN,1
HIMBAUAN UNTUK BERHENTI TOTAL SELAMA 3 HARI DARI TANGGAL 10-12 APRIL 2020,1
INFORMASI TENTANG ADANYA PEMERASAN DENGAN SENJATA TAJAM DI BEBERAPA RUAS JALAN KOTA BANDUNG,1
MINIMARKET DI ANTAPANI BANDUNG DITUTUP KARENA KARYAWANNYA POSITIF COVID19,0
PEMERINTAH BERI INTERNET GRATIS AKIBAT CORONA VIRUS,1
RUTE PATROLI SKALA BESAR POLDA JABAR TANGGAL 10-12 APRIL 2020,0
KOMINFO LUNCURKAN APLIKASI PEDULI LINDUNGI,0
PESAN BERANTAI: AKSI BALAS DENDAM PARA PEMBEGAL DAN GENG MOTOR PADA SELASA MALAM,1
"PESAN PEMERINTAH TETAP DIRUMAH & JAGA JARAK, SEBAGAI INSENTIF PEMERINTAH GRATISKAN AKSES INTERNET",1
PROGRAM KARTU PRAKERJA DARI DISNAKERTRANS JABAR,0
ALFAMART BAGI-BAGI 6000 KUPON SENILAI RP. 2 JUTA,1
VIDEO WARGA KELUYURAN DI ATAS JAM 2 SIANG DIANCAM PUKUL ROTAN SAAT PENERAPAN PSBB BANDUNG RAYA,1
LINK TES COVID19 DAPAT HADIAH,1
"MUI PUSAT HIMBAU KIYAI DAN USTADZ AGAR TOLAK RAPID TEST, KARENA ITU MODUS OPERANDI PKI",1
PEMERINTAH INDONESIA MEMPERTIMBANGKAN MEMAKAI STRATEGI HERD IMMUNITY,2
KEMENTERIAN KESEHATAN ITALIA ; COVID19 BUKAN KARENA VIRUS MELAINKAN BAKTERI DAN DIPERKUAT RADIASI 5G MNYEBABKAN PERADANGAN DAN HIPOKSIA,2
PEMERINTAH BERI INTERNET GRATIS AKIBAT CORONA VIRUS,1
"LEBIH DAHSYAT DARI SERANGAN COVID-19, WABAH GIGITAN LEBAH MEMATIKAN KINI SERANG INDIA, CHINA DAN TURKI",1
PENGUNGKAPAN PENJUALAN DAGING BABI DI KABUPATEN BANDUNG,0
RIDWAN KAMIL IZINKAN PENGURUS MASJID LAKSANAKAN SOLAT JUMAT DAN IDUL FITRI,0
VIDEO SEORANG IBU DAN KEDUA ANAKNYA GANTUNG DIRI DISEBABKAN LOCKDOWN,1
VIDEO KERAMAIAN PASAR ANDIR BANDUNG DI TENGAH PSBB,1
"DR. DR. SITI FADILAH SUPARI, SP.JP(K) : VAKSIN BILL GATES JANGAN DIGUNAKAN DI INDONESIA",2
PSBB JAWA BARAT DI PERPANJANG SAMPAI 12 JUNI 2020,0
TERSEBAR FOTO WANITA PASIEN POSITIF COVID19 YANG DISEBUTKAN KABUR DARI RUMAH SAKIT DI CIMAHI,2
5000 USTADZ DI JABAR AKAN DISUNTIK COVID-19 SAMPAI MATI,1
KISAH ABK INDONESIA DI KAPAL CHINA YANG DI PERLAKUKAN TIDAK MANUSIAWI HINGGA MENINGGAL MAYATNYA DI BUANG KE LAUT,0
PEDAGANG PASAR KORDON BUBAT SUDAH BANYAK YANG POSITIF COVID19,2
KEMENTERIAN KESEHATAN ITALIA ; COVID19 BUKAN KARENA VIRUS MELAINKAN BAKTERI DAN DIPERKUAT RADIASI 5G MNYEBABKAN PERADANGAN DAN HIPOKSIA,2
COVID-19 BISA DISEMBUHKAN DENGAN MINYAK KAYU PUTIH,1
RUMAH SAKIT PANCARAN KASIH MANADO SOGOK KELUARGA PASIEN YANG MENINGGAL AGAR PASIEN DIJADIKAN KORBAN COVID19,1
"4 PEDAGANG POSITIF CORONA, 3 PASAR DI KOTA BANDUNG DITUTUP",0
"CORONA MELANDA, BEBERAPA DISPENDA KOTA/KABUPATEN BERIKAN INSENTIF TAGIHAN PBB",0
"TERAPKAN PSBB PROPORSIONAL, BEBERAPA RUAS JALAN DI KOTA BANDUNG KEMBALI DITUTUP",0
"KANDUNG BAKTERI BERBAHAYA, KEMENTARIAN PERTANIAN MUSNAHKAN JAMUR ENOKI",0
RIDWAN KAMIL SEBUT SEKOLAH DI JABAR AKAN DIBUKA PADA JANUARI 2021,0
"BOGOR SAAT INI JADI LAUTAN MERAH MEMBARA, PENYEBARAN VIRUSNYA BANYAK SEKALI",0
TAK PAKAI MASKER DAN SARUNG TANGAN : JENIS PELANGGARAN YANG TERTERA DALAM LEMBAR SURAT TILANG,2
ANIES IJINKAN DISKOTEK DAN PANTAI PIJAT KEMBALI BEROPERASI,1
ANTISEPTIC POVIDONE ATAU BETADINE TERBUKTI EFEKTIF MEMBUNUH 99.99% VIRUS COVID19 DALAM 30 DETIK,0
"IDE AL QURAN NUSANTARA MULAI DI REALISASIKAN, ARTI SURAT AL-MAIDAH 51 BERUBAH DARI PEMIMPIN MENJADI TEMAN SETIA",1
"KHAWATIR BANGKITKAN PAHAM KOMUNIS, MUI KELUARKAN MAKLUMAT TOLAK RUU HIP",0
27 TENAGA MEDIS DI 7 PUSKESMAS DI KOTA BANDUNG TERPAPAR VIRUS CORONA,0
RATUSAN SISWA SECAPA AD BANDUNG POSITIF COVID-19,0
"LEBIH DARI 40 ORANG ASN SETDA JABAR TERINDIKASI POSITIF COVID-19, GEDUNG SATE DITUTUP SEMENTARA",0
"MAHKAMAH AGUNG KABULKAN GUGATAN PILPRES 2019, KEMENANGAN JOKOWI DIBATALKAN",2
MULAI 27 JULI 2020 BAGI YANG TIDAK BERMASKER DI TEMPAT UMUM DI JAWA BARAT KENA DENDA 100-150RIBU,0
WHO : PENULARAN CORONA TAK LAGI HANYA LEWAT DROPLET TAPI JUGA UDARA,1
ISRAEL BERJANJI BAHWA INDONESIA AKAN DIBUAT SEPERTI PALESTINA,1
IMBAUAN DISDUKCAPIL BANDUNG TENTANG KASUS PENYALAHGUNAAN KTP,1
RADIASI LASER THERMO GUN BERBAHAYA BAGI TUBUH MANUSIA,1
99 PERSONEL TNI PUDIKOM CIMAHI POSITIF CORONA,0
MATA PELAJARAN PAI DAN BAHASA ARAB AKAN DIHAPUS DARI KURIKULUM,2
PESAN BERANTAI : RAZIA PENGGUNAAN MASKER DI KABUPATEN BANDUNG,0
"PERPRES KARTU KERJA DI REVISI, PESERTA WAJIB KEMBALIKAN UANG BANTUAN",0
RATUSAN SISWA SECAPA AD BANDUNG TERPAPAR COVID-19,0
ARIEF PUYONO USULKAN JUDI KASINO DAN TOGEL DI LEGALKAN,0
KEBIJAKAN PEMDA JABAR TENTANG DENDA BAGI MASYARAKAT YANG TIDAK MENGGUNAKAN MASKER,1
PEMERINTAH AKAN SEDIAKAN LAPTOP GRATIS UNTUK SISWA DAN GURU,1
"DI TENGAH PANDEMI COVID-19, PELAKU UMKM DI KOTA BANDUNG AKAN TERIMA BANTUAN MODAL USAHA",0
"DI HARI KEMERDEKAAN RI KE-75 TAHUN, BI DAN KEMENKEU TERBITKAN UANG BARU PECAHAN 75.000",0
VIDEO SERANGAN RUDAL SEBELUM LEDAKAN DI BEIRUT LEBANON (VERSI 2),1
"INFO RAZIA MASKER BESAR-BESARAN DI JABODETABEK LIBATKAN PEMDA, KEJAKSAAN DAN PM",1
DAFTAR KARTU INDONESIA PINTAR SAMPAI DENGAN TANGGAL 25 AGUSTUS,1
KUOTA BELAJAR TELKOMSEL 10GB HARGA RP10,0
RIDWAN KAMIL DAFTARKAN DIRI SEBAGAI RELAWAN UJI KLINIS VAKSIN VIRS CORONA DARI CHINA,0
"ULANG TAHUN KE-10, WHATSAPP BAGIKAN KONEKSI INTERNET GRATIS 35GB SELAMA 6 BULAN",1
BROADCAST PERAMPOKAN BERMODUS PEMBAGIAN MASKER GRATIS MENGANDUNG BIUS,1
HURRY UP AND GET FREE SHOES FROM ADIDAS,1
COVID-19 BISA DISEMBUHKAN DENGAN MINYAK KAYU PUTIH,1
"HYDROXYCHLOROQUINE, ZINC DAN ZITHROMAX TERBUKTI MEMBANTU KESEMBUHAN COVID-19",2
"KECAMATAN CIMAUNG KABUPATEN BANDUNG ZONA MERAH COVID-19, WISATA GUNUNG PUNTANG DITUTUP SEMENTARA",0
"MUI PUSAT HIMBAU KIYAI DAN USTADZ AGAR TOLAK RAPID TEST, KARENA ITU MODUS OPERANDI PKI",1
"BIMA ARYA GELAR RAZIA GDS, SISWA YANG TERJARING DIBERI SANKSI MENYEMPROT LINGKUNGAN DENGAN RADIUS 1000 METER",1
"ADIDAS MENAWARKAN 3100 SEPATU GRATIS, T-SHIRT, DAN MASKER",1
COVID-19 BISA DISEMBUHKAN DENGAN MINYAK KAYU PUTIH,2
BROADCAST PERAMPOKAN BERMODUS PEMBAGIAN MASKER GRATIS MENGANDUNG BIUS,1
IMBAUAN DARI PANGLIMA PEMBEBASAN RAKYAT INDONESIA AGAR TINGKATKAN KEWASPADAAN PADA TANGGAL 29 DAN 30 SEPTEMBER 2020,1
PETA BANDUNG KOTA ZONA HITAM SEBARAN COVID19,1
FOTO PELAKU PENUSUKAN SYEKH ALI JABER DENGAN BENDERA PKI,1
FOTO PENUSUK SYEKH ALI JABER MEMBAWA BENDERA TAUHID,1
PENDATAAN GURU HONORER DI JAWA BARAT YANG AKAN DAPAT BANSOS DARI KEMENSOS,1
100 GB DATA INTERNET TANPA PENGISIAN ULANG APA PUN UNTUK QUARANTINE (CORONAVIRUS),1
"IMBAUAN BAGI MUI, PIMPINAN PONPES, ULAMA DAN TOKOH MASYARAKAT UNTUK TOLAK RENCANA VAKSINASI CORONA ASAL TIONGKOK KARENA MENGANDUNG BABI",1
PEMBACOKAN IMAM MESJID DI OKU SUMSEL,0
POTENSI TSUNAMI 20 MTER DIPREDIKSI AKAN TERJADI DI PANTAI SELATAN JAWA BARAT DAN TIMUR,0
TOKOPEDIA GELAR PROMOSI DATA INTERNET 100 GB TANPA ISI ULANG,1
"VIDEO BANJIR BANDANG 21 SEPTEMBER 2020 DI CICURUG SUKABUMI, HANYUTKAN RIBUAN RUMAH DAN MOBIL",1
DAFTAR PRAKERJA MELALUI SITUS HTTPS://PRAKERJA.VIP,1
PENYATAAN ALIANSI DOKTER DUNIA BAHWA COVID19 TIDAK BERBAHAYA,2
FAKTA BROADCAST 13 POINT UU CIPTA KERJA (OMNIBUS LAW),1
PEMERINTAH BERI INTERNET GRATIS AKIBAT CORONA VIRUS,1
VOUCHER GAS GRATIS SENILAI 600 RIBU UNTUK ISI BAHAN BAKAR,1
"MUI PUSAT HIMBAU KIYAI DAN USTADZ AGAR TOLAK RAPID TEST, KARENA ITU MODUS OPERANDI PKI",1
"BROADCAST BSSN AKAN REKAM TELEPON DAN PANTAU WA, TWITTER, FACEBOOK",1
PEMERINTAH SADAP TELEPON DAN MEDSOS SEMUA WARGA,1
POIN-POIN UU CIPTA KERJA YANG MENYENGSARAKAN DAN MEMBUNUH RAKYAT SENDIRI,1
SIMPAN NOMER WA +62 8999900411 UNTUK MEMPERMUDAH MENCARI KALIMAT DALAM KITAB AL QURAN,0
ACARA DEMO OMNIBUS LAW DI ISTANA PRESIDEN HINGGA JOKOWI LENGSER,1
PERNYATAAN ALIANSI DOKTER LINTAS NEGARA EROPA : COVID19 TIDAK BERBAHAYA,2
RAYAKAN ULANG TAHUN KFC TAWARKAN 3000 SNACK BUCKET UNTUK SEMUA ORANG,1
SINOVAC YANG AKAN DIVAKSINKAN KE 175 JUTA RAKYAT INDONESIA TERNYATA VAKSIN BERBAHAYA,2
BIAYA TILANG TERBARU DI INDONESIA : KAPOLRI BARU MANTAP,1
VIDEO BOLA MATA JENAZAH DIDUGA PASIEN COVID19 DI PROBOLINGGO HILANG,1
DAFTAR PRAKERJA MELALUI SITUS HTTPS://PRAKERJA.VIP,1
IMBAUAN DISDUKCAPIL BANDUNG TENTANG KASUS PENYALAHGUNAAN KTP,1
KOREA SELATAN KELABAKAN LIHAT WARGANYA MENINGGAL SATU PERSATU USAI DISUNTIK VAKSIN,1
LEWAT AKHIR TAHUN 2020 PENUKARAN TABUNG GAS ELPIJI BIRU 12 KG KE WARNA PINK BERBIAYA 500 RIBU,1
RAZIA MASKER SERENTAK DAN AKAN KENA DENDA 250RB,1
VIDEO WEJANGAN BUPATI SITUBONDO BEBERAPA JAM SEBELUM WAFAT,1
DAPATKAN UANG 200 RIBU DAN BONUS TAMBAHAN DENGAN BERGABUNG DI BUZZBREAK,0
"EVENT LAZADA SHARE POCKET, DAPATKAN CREDIT BELANJA SEBESAR RP150.000",0
"HATI-HATI, BEBERAPA WARGA KOTA BANDUNG TERPAPAR COVID-19, SEBAGIAN MENINGGAL DUNIA",2
INDOMARET BAGIKAN 5000 VOUCHER GRATIS SENILAI RP 2 JUTA,1
"INFO AKAN ADA RAZIA GABUNGAN BESOK, KADAPATAN TAK PAKAI MASKER LANGSUNG DIDENDA RP 250.000",1
MEDIA AUSTRALIA MENYEBUT HRS MANTAN BURONAN PORNOGRAFI BALIK KE INDONESIA UNTUK LUNCURKAN REVOLUSI MORAL,0
RAYAKAN ULANG TAHUN KFC TAWARKAN 3000 SNACK BUCKET UNTUK SEMUA ORANG,1
5 DOKTER MENINGGAL DUNIA KARENA COVID-19 PADA 18 NOVEMBER 2020,1
PENDAFTARAN INTERNET GRATIS 50 GB GELOMBANG KE-2,1
PENDAFTARAN SUBSIDI KUOTA INTERNET SEBESAR 35 GIGABYTE,1
"BROADCAST BSSN AKAN REKAM TELEPON DAN PANTAU WA, TWITTER, FACEBOOK",1
"TEMPAT TIDUR PASIEN COVID-19 DI BEBERAPA RS KOTA BANDUNG PENUH, KONSUMSI MAKANAN ALKALI DENGAN PH LEBIH TINGGI BISA BUNUH VIRUS COVID-19",2
"BIMA ARYA GELAR RAZIA GDS, SISWA YANG TERJARING DIBERI SANKSI MENYEMPROT LINGKUNGAN DENGAN RADIUS 1000 METER",1
JOKOWI TAK MAU DISUNTIK VAKSIN DULUAN,1
KONSUMSI MAKANAN ALKALI DENGAN PH LEBIH TINGGI BISA BUNUH VIRUS COVID-19,2
KUOTA BELAJAR TELKOMSEL 10GB HARGA RP10,0
DAFTAR PRAKERJA MELALUI SITUS HTTPS://PRAKERJA.VIP,1
KABAR BAIK!!! SEMANGKUK AIR BAWANG PUTIH YANG BARU DIREBUS DAPAT SEMBUHKAN VIRUS CORONA,2
KUOTA INTERNET 100 GB GRATIS TANPA ISI ULANG KARENA PANDEMI COVID19,1
TKW ASAL MADIUN SETENGAH LUMPUH SETELAH DISUNTIK VAKSIN,2
VOUCHER TAHUN BARU BERHADIAH DARI ALFAMART,1
ALFAMART TAWARKAN VOUCHER RP 800.000 UNTUK SEMUA ORANG,1
"BUKTI KOMNAS HAM SUDAH LENGKAP, 100 JUTA UNTUK TUTUP MULUT KELUARGA LASKAR",1
STATUS BERLOGO WHATSAPP ADALAH PENIPUAN UNTUK ALIHKAN DATA PRIBADI DAN REKENING BANK,1
SUBSIDI KUOTA INTERNET 75GB,1
CAIRAN VAKSIN TIDAK MASUK KE TUBUH JOKOWI,1
BANTUAN SOSIAL FINANSIAL RP. 3.550.000 BAGI YANG KERJA TAHUN 2000 DAN 2021,1
"KORBAN BERGELIMPANGAN, RATUSAN WARGA TERKAPAR USAI DISUNTIK SINOVAC",1
DAFTAR PRAKERJA MELALUI SITUS HTTPS://PRAKERJA.VIP,1
LINK PENDAFTARAN KARTU PRAKERJA GELOMBANG 12,1
VIDEO SEORANG PRIA PINGSAN SESUDAH DISUNTIK VAKSIN,2
BRIGJEN HENDRA KURNIAWAN ADALAH ANAK KANDUNG PRESIDEN CINA XI JINPING,1
KASDIM 0817 GRESIK MAYOR SUGENG RIYADI MENINGGAL AKIBAT SIANGNYA DISUNTIK VAKSIN,1
"WASPADA POTENSI GEMPA AKIBAT SESAR LEMBANG BANDUNG, BMKG TEKANKAN PENTINGNYA MITIGASI",0
"BROADCAST BSSN AKAN REKAM TELEPON DAN PANTAU WA, TWITTER, FACEBOOK",1
CARA CEK CALON PENERIMA VAKSIN COVID19 GRATIS MELALUI WEBSITE PEDULILINDUNGI.ID,0
LINK PENDAFTARAN BANPRES UMKM TAHAP II,1
PULUHAN SANTRI KERACUNAN AKIBAT VAKSIN COVID-19,1
"KOMINFO BANTUAN PULSA 200RB DAN KUOTA 75GB UNTUK DOSEN, GURU, SISWA, MAHASISWA SELAMA MASA PANDEMI",1
LINK PENDAFTARAN KARTU PRAKERJA GELOMBANG 12,1
PESAN BERANTAI BERISI INFORMASI PENDAFTARAN VAKSINASI COVID-19 UNTUK LANSIA,2
JOKOWI BUKA PINTU IZIN INVESTASI UNTUK INDUSTRI MIRAS BESAR SAMPAI ECERAN,0
BIAYA TILANG TERBARU DI INDONESIA : KAPOLRI BARU MANTAP,1
"KEMENDIKBUD BANTUAN PULSA 200RB DAN KUOTA 75GB UNTUK DOSEN, GURU, SISWA, MAHASISWA SELAMA MASA PANDEMI",1
"INDUSTRI ARAK HINGGA TUAK DISAHKAN, GUBERNUR BALI TERIMA KASIH KEPADA PRESIDEN JOKOWI",0
ITALY TELAH MELAKUKAN PROSES BEDAH MAYAT TERHADAP PASIEN CORONA YANG TELAH MENINGGAL,1
SMS PEMBERITAHUAN PENERIMA DANA BANTUAN DARI KANTOR BPJS PUSAT,1
UANG REDENOMINASI PECAHAN RP 100 BERGAMBAR JOKOWI,1
AL-QURAN PALSU KEMBALI BEREDAR,1
ARAB SAUDI TOLAK JEMAAH HAJI INDONESIA KARENA BELUM BAYAR AKOMODASI,1
BANTUAN SOSIAL FINANSIAL RP. 3.550.000 BAGI YANG KERJA TAHUN 2000 DAN 2021,1
"BENDUNGAN WALAHAR AIRNYA MELUAP, YANG DI KARAWANG SIAP-SIAP",1
"JOKOWI LEGALKAN MIRAS HINGGA KELAS ECERAN, KETUM MUHAMMADIYAH: BANGSA KITA SUDAH KEHILANGAN ARAH",0
TUJUH PENUMPANG LION AIR RUTE TIONGKOK - MANADO TERINFEKSI VIRUS CORONA,0
BPJS KESEHATAN SALURKAN BANSOS FINANSIAL BAGI YANG BEKERJA ANTARA TAHUN 2000 DAN 2021,1
SUBSIDI PULSA 200 RIBU DAN KUOTA 50 GB KEMENDIKBUD DIPERPANJANG LAGI,1
JOKOWI BUKA PINTU IZIN INVESTASI UNTUK INDUSTRI MIRAS BESAR SAMPAI ECERAN,0
SANKSI MUDIK,1
GURU DI SUKABUMI JADI SASARAN KEMARAHAN PERANGKAT DESA GEGARA POSTING JALAN RUSAK,0
"KEMENDIKBUD BANTUAN PULSA 200RB DAN KUOTA 75GB UNTUK DOSEN, GURU, SISWA, MAHASISWA SELAMA MASA PANDEMI",1
TILANG ELEKTRONIK BERLAKU MULAI MARET 2021,0
VAKSINASI COVID-19 UNTUK LANSIA (USIA DIATAS 60) BISA TANPA ONLINE LANGSUNG DATANG KE LOKASI,1
GURU HONORER DI LELES GARUT JADI LUMPUH SETELAH MENDAPAT VAKSIN KEDUA,2
IMBAUAN DISDUKCAPIL BANDUNG TENTANG KASUS PENYALAHGUNAAN KTP,1
KFC SEDIAKAN HADIAH BUCKET AYAM DI PERINGATAN HARI PEREMPUAN INTERNASIONAL 2021,1
"MUAL HINGGA BENGKAK, WARTAWAN JAWA POS TV DILARIKAN KE IGD PASCA DIVAKSIN SINOVAC",0
FOTO BOTOL MIRAS DENGAN LABEL HALAL,1
"DIRUT VIVA COSMETIC SURABAYA, PAK SUSANTO MENINGGAL 3 HARI KEMUDIAN DI RS RKZ KARENA COVID SETELAH VAKSIN PERTAMA",1
JUAL MINUMAN KERAS HUKUMNYA BOLEH UNTUK MEMBANTU KAS NEGARA,1
SUBSIDI PULSA 200 RIBU DAN KUOTA 95 GB KEMENDIKBUD RI,1
RILIS NAMA-NAMA DOKTER YANG WAFAT DI HARI YANG SAMA KARENA COVID19,2
VIDEO CACING DI MASKER IMPOR ASAL CHINA,1
BANTUAN SOSIAL FINANSIAL BRI RP. 5.500.000,1
POSTINGAN STATUS AKUN YANG DIHACK,0
BANTUAN SOSIAL FINANSIAL BJB RP. 5.500.000,1
CARA MENDAPATKAN SUBSIDI LISTRIK PLN DENGAN KLIK TAUTAN INI,1
GURU SUKABUMI LUMPUH USAI VAKSIN COVID-19 DOSIS 2,0
LINK ULTAH INDOMIE KE-60 BERHADIAH 1000 SMARTWATCH,1
LINK ULTAH TELKOMSEL KE-60 BERHADIAH 1000 SMARTWATCH,1
ANGGOTA BRIMOB MALUKU MENINGGAL DUNIA SETELAH DIVAKSIN ASTRAZENECA,1
CINA TELAH MENYEBAR PENYAKIT LEWAT MASKER BARU YANG MASUK KE INDONESIA,1
FOTO KARTINI MEMAKAI HIJAB,1
LINK ULTAH INDOFOOD KE-50 BERHADIAH 1000 SMARTWATCH,1
RATUSAN WN INDIA MASUK INDONESIA KE INDONESIA DI SAAT COVID-19 MEROKET DI INDIA,0
"PULUHAN WARGA CHINA TIBA DI BANDARA SOETTA SELASA (4/5) SORE, LANGSUNG DIJEMPUT BUS",0
LINK SUBSIDI PULSA 200 RIBU DAN KUOTA 125 GB KEMENDIKBUD,1
RUSIA TIDAK MENEMUKAN VIRUS DARI HASIL OTOPSI JENAZAH COVID-19,1
YANG SUDAH DIVAKSIN SIAP-SIAP MATI DINI DALAM JANGKA WAKTU 2 TAHUN,1
GURU SUKABUMI LUMPUH USAI VAKSIN COVID-19 DOSIS 2,0
"PENYEKATAN MUDIK DI PERBATASAN BEKASI-BOGOR, TAK TANGGUNG- TANGGUNG TNI NURUNIN TANK BAJA",1
BENDA BERMAGNET BISA MENEMPEL DI LENGAN PENERIMA VAKSIN CORONA,1
TULISAN ILMIAH IDI : COVID-19 ADALAH PENGELABUAN DAN PEMBODOHAN GLOBAL,1
"CAMPURAN KELAPA MUDA, JERUK NIPIS, GARAM DAN MADU LENYAPKAN VIRUS CORONA",1
GALANG DANA UNTUK PALESTINA,0
LINK ULTAH COFFESHOP JANJI JIWA KE-30 BERHADIAH 1000 SMARTWATCH,1
PDIP USUL KE PEMERINTAH AGAR SELURUH PESANTREN DI INDONESIA DITUTUP,1
PENGGUNAAN MASKER SEBABKAN MANUSIA KERACUNAN CO2,1
"VIDEO MOBIL IRINGAN-IRINGAN JOKOWI MUDIK, RI 1 PULANG KAMPUNG",1
