Judul,Penulis,Abstrak,SDGs
The Trends and Roles of Robotic Process Automation Technology in Digital Transformation: A Literature Review,"[{""Penulis"":""Afriliana, Nunik""},{""Penulis"":""Ramadhan, Arief""}]","Digital transformation is one of many initiatives that could be considered a common strategy to overcome disruption issues in many companies, industries, and organizations. Initiating the digital transformation will maintain companies’ performance, efficiency, and compliance. An essential factor of digital transformation is technology. The emergence of various digital technologies brings possibilities to initiate the digital transformation journey. One of those emerging technologies is Robotic Process Automation. This research aimed to conduct a comprehensive literature review by adopting Kitchenham and PRISMA procedures. Forty-two pieces of literature from seven databases were analyzed bibliometrically and qualitatively to determine the trends and roles of Robotic Process Automation in digital transformation and the extent to which it can be utilized. This study has contributed theoretically and practically to the community. Theoretically, the trend of Robotic Process Automation in digital transformation research since its emergence up until now has been identified. It gives a baseline for future researchers to start another study and will reduce the knowledge gap between industry and academic research. Practically, this study provides many insights for the practitioners and enterprises on how Robotic Process Automation can be utilized to enhance their digital workforce. Best practices and success factors have been summarized from some areas of implementation. This technology is considered an important new technology to be utilized in a digital transformation initiative. However, it can be appropriately used under certain circumstances and conditions, as reported in detail in this article. © 2022, Success Culture Press. All rights reserved.","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Smart Dashboard Design and Water Sensor Integration Architecture by Applying Internet of Things (IoT) Technology Using Data Analysis and Prediction Methods,"[{""Penulis"":""Maulana, Furqan""},{""Penulis"":""Fakhrurroja, Hanif""},{""Penulis"":""Lubis, Muharman""}]","Water availability in some countries is dwindling owing to increased industrialization and global warming. One of these problems impacts the fisheries sector, namely the cultivation of Australian Red Claw Crayfish, which uses a freshwater environment. There are several problems in this sector, including the absence of a tool to measure the four components that must be calculated Power of Hydrogen (pH), Dissolved Oxygen (DO), Water Temperature, and Conductivity. This problem has been going on for a long time. It requires technology to measure these four components' water stability-one of the technologies that can be used in implementing Internet of Things (IoT) technology. IoT is an alternative to measure the value of the four main focus components using sensors placed in aquaculture ponds from Australian Red Cray Crayfish. all parts of the sensor must be integrated using technology in the form of a wireless connection, and monitoring can be carried out for analysis and prediction needs of water stability. This project seeks to give a design for a smart dashboard and architecture for sensor creation using the IoT platform. This research has revealed the specifics of the architecture being created. It can present and interpret sensor data, thereby providing data that smart aquaculture farmers may use to monitor water quality in crayfish ponds.  © 2022 IEEE.","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
Reflecting on REDD+: Challenges Towards Indonesia's Carbon Pricing,"[{""Penulis"":""Dirgantara, Pradipta""}]","Indonesia, as one of many countries committed to implementing climate action frameworks, sees the need to develop solid carbon pricing regulations and expand the scope using its REDD+ (Reducing Emission from Deforestation and Forest Degradation Plus) experience. As a result-based payment for carbon trading, REDD+ can be a beneficial learning lesson for it. Prior to the United Nations Climate Change Conference 26 (COP), Indonesia demonstrated its political resolve to advance its climate policy by issuing a regulation on carbon pricing through Presidential Regulation No. 98/2021. Indonesia's involvement in REDD+ has resulted in strong foundation accomplishments for carbon pricing implementation in terms of institutionalization, technicalities, and socioeconomic outcomes. However, not all REDD+ projects in Indonesia achieve the desired results. This paper aims to reflect on REDD+ as a lesson learned to identify the challenges towards Indonesia's carbon pricing. A literature review and comparative study of carbon pricing implementation in Brazil, Canada, China, Colombia, and New Zealand were used to support this paper. This paper highlights several potential challenges to carbon pricing implementation in Indonesia such as determining the right instruments, strengthening government's political will, transparency and public involvement, distribution of carbon price choices for subnational capacities, and the multi-nature of carbon pricing.  © Published under licence by IOP Publishing Ltd.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1]"
Earthquake Patterns Identification Based on Network Centrality Measurements and Earthquake Type,"[{""Penulis"":""Rusmawati, Yanti""}]","To obtain a simple path or all possible paths within a network, we can utilize the library package in tools such as R studio. Moreover, we can build a PROLOG program to explore more regarding the path. However, we must ensure first that the network or graph that we use has already been constructed based on our information needs. This paper use earthquake data as a case because the network construction of earthquake data is the challenging one. Using earthquake data of Indonesia from USGS, we model the network where a node represents one earthquake location, and a link represents a successor earthquake occurrence from source to target node. From the resulting graph, we use centrality measurements in network science to obtain earthquake patterns in a form of a path, such as to find a proper path towards a big one of earthquakes. We successfully construct the network, and its centrality measurements help us find the path.  © 2022 IEEE.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Outdoor Social Distancing Violation System Detection Using YOLO Algorithm,"[{""Penulis"":""Rahman, Dwiki""},{""Penulis"":""Setianingsih, Casi""},{""Penulis"":""Dirgantara, Fussy Mentari""}]","The government issued orders to implement social distancing or physical distancing. Social distancing is a method of maintaining a distance of at least one meter from other people. This is useful for reducing/preventing disease transmission (virus) and reducing the chain of the spread of covid-19. So the hospital can provide optimal service. For this reason, this research is structured to create a system that can detect violations of social distancing in an open place. This system uses the You Only Look Once (YOLO) algorithm. The developed system uses a pre-Trained Yolov4 model to detect 80 object classes. Testing of this system is carried out based on several scenarios. The system is programmed using Python, with tools for coding Microsoft Visual Studio Code and Anaconda. The best result from creating the detection mode is obtained from a dataset ratio of 90% train data and 10% test data, with the mean average precision results obtained being 54.11%.  © 2022 IEEE.","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Classification of pulmonary crackle and normal lung sound using spectrogram and support vector machine,"[{""Penulis"":""Rizal, Achmad""},{""Penulis"":""Priharti, Wahmisari""},{""Penulis"":""Rahmawati, Dien""},{""Penulis"":""Mukhtar, Husneni""}]","Crackles is one of the types of adventitious lung sound heard in patients with interstitial pulmonary fibrosis or cystic fibrosis. Pulmonary crackles of discontinuous short duration appear on inspiration, expiration, or both. To differentiate these pulmonary crackles, the medical staff usually uses a manual method, called auscultation. Various methods were developed to recognize pulmonary crackles and distinguish them from normal pulmonary sounds to be applied in digital signal processing technology. This paper demonstrates a feature extraction method to classify pulmonary crackle and normal lung sounds using Support Vector Machine (SVM) method using several kernels by performing spectrograms of the pulmonary sound to generate the frequency profile. Spectrograms with various resolutions and 3-fold cross-validation were used to divide the training data and the test data in the testing process. The resulting accuracy ranges from 81.4%-100%. More accuracy values of 100% are generated by a feature extraction in several SVM kernels using 256 points FFT with three variations of windowing parameters compared to 512 points, where the best accuracy of 100% was produced by STFT-SVM method. This method has a potential to be used in the classification of other biomedical signals. The advantages of that are that the number of features produced is the same as the N-point FFT used for any signal length, the flexibility in the STFT parameters changes, such as the type of window and the window's length. In this study, only the Keiser window was tested with specific parameters. Exploration with different window types with various parameters is fascinating to do in further research. © 2022 Trans Tech Publications Ltd, Switzerland","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Automatic essay exam scoring system: A systematic literature review,"[{""Penulis"":""Susanti, Meilia Nur Indah""},{""Penulis"":""Ramadhan, Arief""},{""Penulis"":""Warnars, Harco Leslie Hendric Spit""}]","Currently, Indonesia and the whole world are being hit by the Covid-19 pandemic which has an impact on various fields of life. It affects all sectors, including the education sector. The government through the Ministry of Education and Culture makes a policy in education in terms of the learning process. Teaching and learning activities that were initially carried out face to face become distance learning which was carried out at home. In this study, a systematic literature review is conducted on automatic assessment of essay answers. Various previous studies discuss the essay answer scoring system that has been developed using various methods. We synthesize the results to enrich our understanding of the automated essay exam scoring system. The expected result of this research is that it can contribute to further research related to the automated essay exam scoring system, especially in terms of considering methods and dataset forms. © 2022 Elsevier B.V.. All rights reserved.","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Implementation of Robotic Process Automation for Sentiment Analysis of Lecturer Evaluation by Students (EDOM) at Higher Education Information System,"[{""Penulis"":""Iqlal Rahman, Dariosany Nur""},{""Penulis"":""Andreswari, Rachmadita""},{""Penulis"":""Fauzi, Rokhman""}]","The same and repetitive business processes of today's era are extremely inefficient. Robotic Process Automation (RPA) is a software technology that helps humans complete the same and repetitive work so that it can cut time. According to a study released by Infosys, the implementation of RPA can result in a 50% reduction in Full Time Equivalent (FTE), and a 58% reduction in manual work. At the end of the academic cycle period of Telkom University, lecturers or heads of study programs can see the results of lecturer evaluation by students (EDOM) to evaluate performance for 1 semester. However, to see and evaluate takes a long time. UiPath is one of the solutions to carry out the work automation process with the aim of making it easier for lecturers or heads of study programs to see or evaluate the performance of lecturers. The method used is to use scraping data and then student sentiment is analyzed using the Naïve Bayes algorithm at Google Collaboratory. The results of this study are data scraping documents and documents resulting from sentiment analysis using the Naïve Bayes algorithm.  © 2022 IEEE.","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
A comparison of text weighting schemes on sentiment analysis of government policies: a case study of replacement of national examinations,"[{""Penulis"":""Sutoyo, Edi""},{""Penulis"":""Rifai, Achmad Pratama""},{""Penulis"":""Risnumawan, Anhar""},{""Penulis"":""Saputra, Muhardi""}]","The National Examination (UN) is a system of evaluation of education standards for elementary and secondary schools conducted nationally and is also used to equalize the quality between education levels. The national examination aims to determine graduation, national education quality mapping, and also for selection to higher education levels. Over the years the UN has become a benchmark for the standardization of education in Indonesia, meaning that the UN is very much needed to find out the size of the quality of student education and the quality of teaching of a school. The government’s policy regarding the plan to remove the UN system has received public attention. The removal of the UN is planned to be replaced with a competency assessment and character survey. In order to know the public’s sentiments regarding this policy, research needs to be done, one of which is to analyze public sentiment through social media Twitter. In text mining tasks such as text classification and sentiment analysis, careful selection of a term weighting scheme (TWS) can have a significant impact on effectiveness. We tested the effectiveness of six classification algorithms by varying the TWS in the dataset obtained from Twitter. The experimental results showed that overall TF-IGM outperformed TF-IDF on four classification algorithms. Finally, the sentiment analysis of the discourse on the removal of the UN is expected to provide a general picture to the government regarding public opinion from the point of view of data coming from social media. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Precision Analysis on Automatic Writing Machine Using Arduino (Case Study: Printer Plotter),"[{""Penulis"":""Ramadhana""},{""Penulis"":""Nuha, Hilal H.""},{""Penulis"":""Faris Fathoni M.""}]","In this era of increasingly widespread innovation developments in the field of Information Technology (IT), technology is something that is implemented as a tool to facilitate human activities. In daily human activities, it is always related to the use of writing instruments for administrative needs or other needs. In the process of printing images or writing, a high-quality printer is needed to get good printouts, of course this will cause a lot of costs to be incurred. Apart from needing a high-quality printer machine, we also have to prepare the best version of ink so that the resulting prints will be better. With the advancement of technology in the Internet of Things (IoT) which is fast enough, a tool can be created to make writing or pictures automatically and can produce good and precise prints. This machine is based on the X and Y axes, to operate the machine requires a computer unit, arduino, and also Computer Numerical Control (CNC), later this machine operates according to instructions from the computer.  © 2022 IEEE.","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Control system performance of a 7.3-meter radio telescope converted from telecommunication antenna to radio astronomy purposes in Malaysia,"[{""Penulis"":""Abidin, Zamri Zainal""},{""Penulis"":""Ramadhani, Farah""},{""Penulis"":""Algaba, Juan Carlos""},{""Penulis"":""Shah, Noraisyah Mohamed""},{""Penulis"":""Dahari, Mahidzal""},{""Penulis"":""Wan Mokhtar, Wan Zul Adli""}]","We present a crucial step in converting a commercial telecommunication antenna system into a radio astronomy telescope. This step involved the development of a newly installed and simple control system to manage the telescope movement with relatively good pointing accuracy. The control system was designed using a programmable logic controller (PLC) that is robust and affordable. Based on the performance testing, this control system achieved average accuracies of 0.95 and 1.083 arcmin in azimuth and elevation positioning respectively, and an RMS of 9 arcmin across the open sky. In addition, it reached average rotation speeds of about 5.4, 2.4, and 4.8 arcmin/s for azimuth, elevation, and tracking rate, respectively. The results also showed that the converted radio telescope has an acceptable tracking accuracy of errors below 10% of the antenna half-power bandwidth at a frequency of 1.4 GHz while generating movement speed suitable for basic radio astronomy observations. These results show that this converted small radio telescope has the basic requirements for tracking and imaging celestial radio objects, primarily via interferometry with larger radio telescopes at low observation frequencies. © 2022 Society of Photo-Optical Instrumentation Engineers (SPIE)","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Visualization Analysis and Trends in Indonesian Internet of Things Research Using Bibliometrics,"[{""Penulis"":""Maulana, Fairuz Iqbal""},{""Penulis"":""Pangestu, Gusti""},{""Penulis"":""Febriantono, M. Aldiki""},{""Penulis"":""Arifuddin, Rahman""},{""Penulis"":""Widartha, Vandha Pradwiyasma""}]","The Internet of Things (IoT) has emerged as a critical issue and area of research for a variety of communities, academics, and industries worldwide. Due to the lack of research in IoT and understanding the direction of IoT development in the future. This research presents bibliometric analysis and analysis of science mapping on IoT. Data was taken from the Scopus database based on Indonesian state affiliation from 2012-2020. A total of 1415 documents (Conference proceedings, journals, book series, and books) were retrieved, which were then processed online via Scopus Web and by VOSviewer software to perform advanced bibliometric analysis and science mapping analysis. The method is divided into five stages: keyword selection, initial search results, search result refinement, initial compilation, and data analysis. Scopus's list of the most frequently published and indexed articles, the most published papers are in the subject area of Computer Science (29.0%) with 938 documents, Engineering (20.7%) with 668 documents, Physics and Astronomy (9.5%) with 308 documents. The data processed and visualized on this topic offer exploratory information about the current status and trends in the IoT scientific literature and provide insight for established and novice researchers in understanding this research topic.  © 2022 IEEE.","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
The Implication of Digital Organisational Culture on Firm Performance,"[{""Penulis"":""Pradana, Mahir""},{""Penulis"":""Silvianita, Anita""},{""Penulis"":""Syarifuddin, Syarifuddin""},{""Penulis"":""Renaldi, Renaldi""}]","Digital technologies have become a major factor for innovation in the business environment. Organisations have taken advantage of digitised data and information to increase performance. However, there is still little research focusing on the effect of digitalisation on organisational culture, which in the end will affect performance. We develop this research by exploring a proposed model involving digital organisational culture with the final goal to enhance organisational performance. The research involved 263 managers of state-owned companies in Indonesia. We analysed the theoretical model by using structural equation modelling and processed the data using the SmartPLS version 3 software. We conclude that digital organisational culture can become an essential factor in improving digital strategy and performance. However, business digitalisation does not really affect digital organisational values. Copyright © 2022 Pradana, Silvianita, Syarifuddin and Renaldi.","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Design of Data Interchange Regulation for Regional ICT Office,"[{""Penulis"":""Falahah""},{""Penulis"":""Santoso, Ari Fajar""}]","— The rapid development of e-government systems raises issues of the importance of data integration and interoperability. Recently, most government offices provide data interchange services through web services or using database direct-link (db-link), and the process usually runs without referring to certain regulations, standards, or procedures. It can cause some problems such as lack of a standard for data interchange services, lack of procedure for building, deploying, and monitoring the services, duplicate services, problems in tracing and maintaining the services, and much more. The research aims to provide the practical method for designing the regulation for supporting data interchange and propose a draft of the regulation package that consists of policy, procedure, and technical guide. The research is located in a regional ICT government office and the process for designing the regulation is building through a design thinking approach. Outputs of this research are the conceptual map of the issues that should be covered by the regulation, the structure of the policy, the draft of standard and procedure for supporting data interchange mechanism, and the sample of the technical guide. The draft of the regulation is then tested against the actual problem to see how the regulation, procedure, and guide can resolve it. The result shows that it can fill the needs of regulation in the organization and can address some needs on data interchange mechanisms. © 2022, Politeknik Negeri Padang. All rights reserved.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Forecasting of Wind Speed and Power through FFNN and CFNN Using HPSOBA and MHPSO-BAACs Techniques,"[{""Penulis"":""Ellahi, Manzoor""},{""Penulis"":""Usman, Muhammad Rehan""},{""Penulis"":""Arif, Waqas""},{""Penulis"":""Usman, Hafiz Fuad""},{""Penulis"":""Khan, Waheed A.""},{""Penulis"":""Satrya, Gandeva Bayu""},{""Penulis"":""Daniel, Kamran""},{""Penulis"":""Shabbir, Noman""}]","Renewable Energy Sources are an effective alternative to the atmosphere-contaminating, rapidly exhausting, and overpriced traditional fuels. However, RESs have many limitations like their intermittent nature and availability at far-off sites from the major load centers. This paper presents the forecasting of wind speed and power using the implementation of the Feedforward and cascaded forward neural networks (FFNNs and CFNNs, respectively). The one and half year’s dataset for Jhimpir, Pakistan, is used to train FFNNs and CFNNs with recently developed novel metaheuristic optimization algorithms, i.e., hybrid particle swarm optimization (PSO) and a Bat algorithm (BA) named HPSOBA, along with a modified hybrid PSO and BA with parameter-inspired acceleration coefficients (MHPSO-BAAC), without and with the constriction factor (MHPSO-BAAC-χ). The forecasting results are made for June–October 2019. The accuracy of the forecasted values is tested through the mean absolute error (MAE), mean absolute percentage error (MAPE), and root mean square error (RMSE). The graphical and numerical comparative analysis was performed for both feedforward and cascaded forward neural networks that are tuned using the mentioned optimization techniques. The feedforward neural network was achieved through the implementation of HPSOBA with a mean absolute error, mean absolute percentage error, and root mean square error of 0.0673, 6.73%, and 0.0378, respectively. Whereas for the case of forecasting through a cascaded forward neural network, the best performance was attained by the implementation of MHPSO-BAAC with a MAE, MAPE and RMSE of 0.0112, 1.12%, and 0.0577, respectively. Thus, the mentioned neural networks provide a more accurate prediction when trained and tuned through the given optimization algorithms, which is evident from the presented results. © 2022 by the authors.","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Sentiment Analysis of The Public Perspective Electric Cars in Indonesia Using Support Vector Machine Algorithm,"[{""Penulis"":""Alhari, Muhammad Ilham""},{""Penulis"":""Pratiwi, Oktariani Nurul""},{""Penulis"":""Lubis, Muharman""}]","Transformation of energy use to switch to green energy consumption is urgently needed. Pollution levels and residual combustion yields have increased in each period. Air pollution is one of the contributors that plays a significant role in environmental air quality. Transportation accounts for about 27% of the air pollution generated from combustion gases. Governments in various countries. The main objective of this study is to find out how public sentiment towards electric car vehicles is through data sourced from data sets through the social media platform twitter and by using the analysis of the sentiment support vector machine approach as a data playing algorithm. The processed data set amounted to 1502 Tweet opinions with a positive sentiment classification distribution of 79%, negative sentiment of 21% with an accumulated accuracy rate of 87%. In addition, this study also visualizes the results of the analysis in the form of a value graph so that it can help electric vehicle industry players to understand public sentiment better and accurately and help data information to encourage the Indonesian government to increase the use of green energy that supports a green and sustainable environment. © 2022 IEEE.","[1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
Off-grid Photovoltaic System Power Output Medium-Term Forecasting Using Artificial Neural Network,"[{""Penulis"":""Risfianda, Muhammad Risqi""},{""Penulis"":""Silalahi, Desri Kristina""},{""Penulis"":""Dimas, Muhammad""},{""Penulis"":""Aprillia, Bandiyah Sri""},{""Penulis"":""Hanifan, Azman""}]","The use of fossil energy which is always increasing from year to year makes it seem as if the world cannot be separated from these energy source. Therefore, it is necessary to find new energy sources where the energy can be renewable and available for a long time. In this research, a system is designed to predict the power output of PV. This system uses solar irradiation data and the power output of an off-grid solar power plant as the dataset. The dataset obtained from the PV output will be processed using an artificial neural network (ANN) with a backpropagation algorithm. The results of this study are able to predict the medium-term PV power output using the artificial neural network method by looking at the expected error values of Mean Absolute Percentage Error (MAPE), Mean Absolute Error (MAE), Mean Square Error (MSE), and Root Mean Square Error (RMSE). Tests are carried out to predict the PV power output for the next 11 days. The ANN model architecture uses 2 hidden layers with 3 neurons in the layer, 7 neurons in the second layer, and 190 epochs. This model has an error value of 25.837% for MAPE, 0.166 for MAE, 0.043 for MSE, and 0.209 for RMSE which categorizes the model as fairly feasible on predicting the next 11 days of PV power output.  © 2022 IEEE.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Generator Scheduling Optimization Involving Emission to Determine Emission Reduction Costs,"[{""Penulis"":""Puspitasari K.M.D.""},{""Penulis"":""Raharjo J.""},{""Penulis"":""Sastrosubroto A.S.""},{""Penulis"":""Rahmat B.""}]","Climate change, greenhouse gases, and global warming are global issues today. Of course, this global issue cannot be separated from the issue of emissions. Various methods to solve generator scheduling problems by considering emissions or Economic Emission Dispatch (EED) have been published, but not to the extent of calculating the cost to reduce emissions. The main objective of this research is to determine the cost of reducing the emission of electricity generation in Indonesia through solving the EED problem. The method proposed to solve the EED problem is an annealing simulation algorithm and tested using an electrical system of eight generators, four different loads, and five combinations of cost and emission weights. This method is tested with various loads (conditions), and each condition is tested with various combinations of cost weights and emission weights. The obtained results were compared with the results of the calculation of the Cuckoo algorithm, and the whale optimization algorithm. The simulation results show that it costs US$258.81 to reduce 1 ton of emissions. This paper can be used as a material for further consideration for the government and generator providers in making policies related to the operation of power plants by considering emissions. © 2022 Materials and Energy Research Center. All rights reserved.","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Data Clustering for Identification of Building Conditions Using Hybrid Multivariate Multinominal Distribution Soft Set (MMDS) Method,"[{""Penulis"":""Saedudin, Rohmat""},{""Penulis"":""Yanto, Iwan Tri Riyadi""},{""Penulis"":""Budiono, Avon""},{""Penulis"":""Sari, Sely Novita""},{""Penulis"":""Deris, Mustafa Mat""},{""Penulis"":""Senan, Norhalina""}]","Identifying building conditions for user safety is an urgent matter, especially in earthquake-prone areas. Clustering buildings according to their conditions in the categories of danger, vulnerable, normal, and safe is important information for residents and the government to take further action. This study introduces a new method, namely hybrid multivariate multinomial distribution with the softest (MMDS) in working on the process of clustering building conditions into the most appropriate category and comparable to the condition data presented in the building data set. Research using the MMDS method is very important to map the condition of existing buildings in an area supported by available data sets. The results of the measurements carried out can provide information related to the building index and were clustered based on the index value of the condition of the building. The dataset used in this study is data on school buildings in the West Java region. There are 286 school building data with four condition parameters: foundation, concrete reinforcement, easel pole, and roof. From existing data and defined condition parameters, buildings can be classified accurately and in proportion to the facts on the ground. This study also compared the proposed method, MMDS, with the baseline method, namely Fuzzy Centroid Clustering (FCC) and Fuzzy k-means Clustering (FKC). The results show that the proposed method is superior to the baseline method with a faster processing time. © 2022, Politeknik Negeri Padang. All rights reserved.","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Meta-Analysis and Systematic Review: A Strategy and Dimension to Achieve of Smart Village Concept,"[{""Penulis"":""Alhari, Muhammad Ilham""},{""Penulis"":""Febriyani, Widia""},{""Penulis"":""Fajrillah, Asti Amalia Nur""}]","Smart villages are hacks used to overcome the fundamental problems in rural areas. Currently, there are several studies discussing the successful implementation of this smart village. It is claimed that there is no discussion of the basic concepts or supporting theories, so we need the formula to support this. Therefore, this study focuses on conceptual models to identify smart villages' strengths, weaknesses, and improvements. This study uses a systematic meta-Analysis (PRISMA) method based on 50 articles to build two main scope models of smart villages: strategies and dimensions. Each scope also has its sub-scope. Size the item consists of seven priority areas: governance, energy, economy, ICT, people, environment, tourism. This result enriches the theoretical study of smart villages.  © 2022 IEEE.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Enhancing Precision with an Ensemble Generative Adversarial Network for Steel Surface Defect Detectors (EnsGAN‐SDD),"[{""Penulis"":""35684877""},{""Penulis"":""""},{""Penulis"":""35684877""},{""Penulis"":""Akhyar, Fityanul""},{""Penulis"":""Furqon, Elvin Nur""},{""Penulis"":""Lin, Chih-Yang""}]","Defects are the primary problem affecting steel product quality in the steel industry. The specific challenges in developing detect defectors involve the vagueness and tiny size of defects. To solve these problems, we propose incorporating super‐resolution technique, sequential feature pyramid network, and boundary localization. Initially, the ensemble of enhanced super‐resolution generative adversarial networks (ESRGAN) was proposed for the preprocessing stage to generate a more detailed contour of the original steel image. Next, in the detector section, the latest state‐of-the‐art feature pyramid network, known as De‐tectoRS, utilized the recursive feature pyramid network technique to extract deeper multi‐scale steel features by learning the feedback from the sequential feature pyramid network. Finally, Side‐Aware Boundary Localization was used to precisely generate the output prediction of the defect detectors. We named our approach EnsGAN‐ SDD. Extensive experimental studies showed that the proposed methods improved the defect detector’s performance, which also surpassed the accuracy of state‐of‐the‐art methods. Moreover, the proposed EnsGAN achieved better performance and effectiveness in processing time compared with the original ESRGAN. We believe our innovation could significantly contribute to improved production quality in the steel industry. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Business Value Assessment and IT Roadmap to Achieve e-Government Dimension of Smart Village using TOGAF ADM: A Case Study of Regency in Indonesia,"[{""Penulis"":""Alhari, Muhammad Ilham""},{""Penulis"":""Nur Fajrillah, Asti Amalia""},{""Penulis"":""Lubis, Muharman""}]","An architectural business process in a company certainly needs an estimate related to assessing the owned business. Because by doing this assessment, of course, you can find out how good or how complex a project can be done or handled by an agency organization. Another thing that needs to be considered is how a regulation runs and can follow the development of the latest technology. Of course, in conducting this evaluation, it is hoped that it can provide pressure or reduction in terms of operational costs and increase investment so that the process or value presented will be proportional and even increase and have good quality. This study will present a result of the assessment with the value of the business value assessment (BVA) of the information technology project based on a case study of the development of the smart village concept in the e-government domain. The method used is expected to provide an output design in business architecture enterprise artefacts, data, applications, and technology architecture.  © 2022 IEEE.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
Semantic Segmentation of Whole-Body Bone Scan Image Using Btrfly-Net,"[{""Penulis"":""Nugraha, Dimas Bayu""},{""Penulis"":""Rachmawati, Ema""},{""Penulis"":""Sulistiyo, Mahmud Dwi""}]","Cancer is still a problem in Indonesia for both the country and its sufferer. A way to reduce the impact of this problem is to detect the presence of cancer early on. For detecting the presence of cancer in the bones, we must perform a whole-body bone scan and segment it afterward. In many studies about whole-body bone scan images segmentation, the data usually comes from one source. Therefore, data scarcity problems may occur. The idea of using different sources may have an impact since there are size differences in bone geometry between different ethnicities. In this study, a system that can segment whole-body bone scan images automatically is proposed. The system is designed by using the Btrfly-Net method. Furthermore, the impact of using cross-domain dataset and augmentation methods is observed. The result shows that the system can segment bone scan with 0.856 and 0.780 dice coefficient score using the Btrfly-Net and U-Net methods, respectively. Moreover, augmentation method could increase the Btrfly-Net system metric over 1% while decreasing U-Net system metric over 2-6%. The decreasing metric occurrence in the U-Net system is not caused by the augmentation method directly. Furthermore, there are metric differences in using cross-domain dataset over 3-6%. However, further analysis shows that the cross-domain themselves do not cause the differences.  © 2022 IEEE.","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
A Comprehensive Optimization Approach Based on Cloud Computing for Logistic Sharing System Planning,"[{""Penulis"":""Purnamawati, I. Gusti Ayu""},{""Penulis"":""Oudah, Atheer Y.""},{""Penulis"":""Othman, Hasbullah Bin""},{""Penulis"":""Ibrahim, Irwan Bin""},{""Penulis"":""Iswanto, A. Heri""},{""Penulis"":""Komariah, Aan""},{""Penulis"":""Sergin, Afanasiy Afanasievich""},{""Penulis"":""Hasbi, Imanuddin""},{""Penulis"":""Mustafa, Yasser Fakri""}]","Due to the global size of the production space and a large number of suppliers and service recipients, sequencing operations and logistics are very important in achieving optimal production system performance, reducing costs and reducing time. Since, in the cloud manufacturing space, each of the production activities of a product can be assigned to different resources in different places, logistics services are needed to communicate between these resources. Thus, the study aims to propose a model for a comprehensive optimization approach based on cloud computing for logistic sharing system planning. Given the results, regarding both operational services and logistics services in the cloud manufacturing system, in addition to the optimal allocation of activities and logistics services, it is possible to plan and schedule the sequence of operations and logistics to minimize the total cost of the cloud production system. Studies are also being conducted on sharing logistics systems in the cloud. © 2022 KIIE.","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
