Judul,Penulis,AbstrakClean,target,aspects
An E-Commerce Control Unit for Addressing Online Transactions in Developing Countries: Saudi Arabia - Case Study,"[{""Penulis"":""Al-Mushayt, Omar Saeed""},{""Penulis"":""Gharibi, Wajeb""},{""Penulis"":""Armi, Nasrullah""}]",Transaksi online memainkan peran yang semakin penting dalam kehidupan sehari -hari kita baru -baru ini belanja online secara dramatis berkembang tidak hanya di usaha kecil dan menengah tetapi juga di antara pengguna internet individu yang menggunakan media sosial sebagai platform perdagangan online sementara ada beberapa platform belanja online di Arab Saudi merekaMasih menghadapi hambatan kritis yang menantang pelanggan pria dan organisasi busin. Makalah ini menyajikan unit kontrol pintar yang dapat membantu menambahkan tantangan saat ini yang dihadapi perdagangan dan menyarankan undang -undang pemerintah baru -baru ini yang didedikasikan untuk mengatur dan menyederhanakan transaksi online untuk membuat mereka lebih cepat dan lebih cepat dan kompetitif IEEEE IEEEE,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1","SDG1,SDG17"
Techno-Economic Assessment of 5G NSA Deployment for Metropolitan Area: A Greenfield Operator Scenario,"[{""Penulis"":""Nashiruddin, Muhammad Imam""},{""Penulis"":""Nugraha, Muhammad Adam""},{""Penulis"":""Rahmawati, Putri""},{""Penulis"":""Hanuranto, Ahmad Tri""},{""Penulis"":""Hikmaturokhman, Alfin""}]","Indonesia adalah negara terpadat keempat dengan jutaan orang, ini meningkatkan permintaan jaringan telekomunikasi G LTE adalah Indonesia Sing Ding Mobile Technology LTE tetapi jaringannya sekarang penuh dengan busine telekomunikasi yang harus disesuaikan dengan mobilitas konsumen dan meningkatnya permintaan pemerintah Indonesia mendesak penyebaran gRadio baru dengan model NSA yang tidak berdiri sendiri di wilayah kota -kota Indonesia terutama di ibu kota Jakarta yang merupakan pusat ekonomi dan pemerintah Indonesia penelitian ini berupaya untuk menentukan rencana teknologi dan ekonomi yang diperlukan untuk memenuhi GHZ band pertengahan band denganModel NSA untuk Kebutuhan Kapasitas dan Cakupan Di Kota Metropolitan dan Urban Tanah di Kota Indonesia Jakarta Penelitian ini menggunakan frekuensi GHZ pertengahan band karena kemampuannya untuk memiliki kapasitas dan cakupan optimal terutama untuk skenario operator greenfield operator seluler baru menurut analisis semua kota Jakarta Jakarta Jakarta Kota Jakarta Jakarta Jakarta Jakarta Greenfield Greenfield Greenfieldakan membutuhkan g nr ghz gnodeB dan membuat gbps km sinyal sinkronisasi lalu lintas sinyal sinyal yang diterima daya rsrp rata -rata dbm dan dinilai baik sementara sinr rata -rata db dan dianggap adil dalam hal ekonomi total capex IDR Total opex IDR Net Nilai sekarang NPVIDR tingkat pengembalian internal IRR adalah periode pengembalian PBP adalah atau dalam tiga tahun dan sepuluh bulan dan indeks profitabilitas PI sementara itu hasil analisis sensitivitas menunjukkan bahwa jumlah GnodeB dan jumlah pengguna adalah parameter paling signifikan yang sangat mempengaruhiKelayakan Busine untuk Menyebarkan G NR NSA dengan GHz di wilayah metropolitan Jurnal Kota Jakarta","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1","SDG1,SDG17"
Clustering of COVID-19 Vaccination Recipients in DKI Jakarta Using the K-Medoids Algorithm,"[{""Penulis"":""Trisuciana, Frista Millenia""},{""Penulis"":""Witarsyah, Deden""},{""Penulis"":""Sutoyo, Edi""},{""Penulis"":""Machado, Jose Manuel""}]","Pandemi Covid telah menjadi masalah serius yang telah menyerang berbagai aspek kehidupan seperti agama ekonomi sosial dan yang lainnya pemerintah telah mengadakan program vaksinasi Covid sebagai upaya untuk menangani masalah Covid sejak Januari banyak masalah terjadi karena kesulitan dalam membaginyaArea Penerima Vaksinasi Ini disebabkan oleh sejumlah besar wilayah dengan kondisi yang berbeda untuk setiap wilayah, salah satu upaya untuk melakukan prosedur data vaksinasi besar adalah teknik penambangan data dan menggunakan metode pengelompokan dengan algoritma medoid K dalam penelitian iniData tentang vaksinasi Covid dikelompokkan di daerah Jakarta Timur menggunakan metode pengelompokan algoritma medoid K Perhitungan dilakukan dengan menggunakan persamaan jarak Euclidean dan nilai S kategori area yang dikelompokkan berada di tingkat Kelurahan yang kemudian akan dibagi menjadi beberapa kelompokProsedur pengelompokan dilakukan dengan RapidMiner pada data Kelurahan pada empat atribut utama yaitu jumlah target jumlah dosis vaksin jumlah dosis vaksin dan jumlah dosis vaksin prajurit pengelompokan dilakukan dalam simulasi dengan variasi medoid K sebagai sebagai KEODS sebagai sebagai sebagai Medoids sebagai sebagai sebagai Katoid K sebagai sebagai KUS sebagai KEOBS sebagai sebagai sebagai Katoid KUS ASBanyak hasil pengelompokan menunjukkan jumlah kelompok terbaik yang diperoleh dalam simulasi adalah cluster dengan nilai dbi dbi davies bouldin terkecil dari kelompok yang diperoleh adalah cluster untuk mengelompokkan cluster yang diprioritaskan dalam memberikan vaksinasi adalah cluster dengan item karena anggotanyaadalah area di DKI Jakarta dan memberikan skor tinggi dalam kasus Covid dibandingkan dengan kelompok lain IEEEE","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",SDG3
Predicting Breast Cancer from Risk Factors Using SVM and Extra-Trees-Based Feature Selection Method,"[{""Penulis"":""Alfian, Ganjar""},{""Penulis"":""Syafrudin, Muhammad""},{""Penulis"":""Fahrurrozi, Imam""},{""Penulis"":""Fitriyani, Norma Latif""},{""Penulis"":""Atmaji, Fransiskus Tatas Dwi""},{""Penulis"":""Widodo, Tri""},{""Penulis"":""Bahiyah, Nurul""},{""Penulis"":""Benes, Filip""},{""Penulis"":""Rhee, Jongtae""}]","Mengembangkan model prediksi dari faktor risiko dapat memberikan metode yang efisien untuk mengenali pembelajaran mesin kanker payudara ML algoritma telah diterapkan untuk meningkatkan efisiensi diagnosis pada tahap awal makalah ini mempelajari mesin vektor pendukung SVM yang dikombinasikan dengan pohon yang sangat acak CLA ifier Extrapohon untuk memberikan diagnosis kanker payudara pada tahap awal berdasarkan faktor risiko pohon ekstra cla ifier digunakan untuk menghilangkan fitur yang tidak relevan sementara SVM digunakan untuk mendiagnosis status kanker payudara, dataset kanker payudara yang terdiri dari subjek digunakan oleh model pembelajaran mesin mesin mesin mesin mesinUntuk memprediksi kanker payudara sementara validasi CRO lipatan bertingkat digunakan untuk evaluasi model SVM gabungan yang kami usulkan dan model pohon tambahan mencapai akurasi tertinggi hingga yang secara signifikan lebih baik daripada model ML lainnya, hasil eksperimen menunjukkan bahwa dengan menerapkan fitur berbasis pohon tambahan dengan pohon tambahan berbasis pohon ekstraSeleksi Rata -rata akurasi prediksi ML ditingkatkan hingga kontras dengan ML tanpa metode pemilihan fitur yang diusulkan model kami diharapkan untuk meningkatkan efisiensi diagnosis kanker payudara berdasarkan faktor risiko sebagai tambahan kami menyajikan model prediksi yang diusulkan yang dapat digunakan untukPrediksi Kanker Payudara Berbasis Web Model yang diusulkan diharapkan untuk meningkatkan sistem pendukung keputusan diagnostik dengan memprediksi penyakit kanker payudara secara akurat oleh penulis","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",SDG3
Enhanced Technology for Logistics Courier Delivery Using RFID Label to Minimize Processing Time,"[{""Penulis"":""Novitasari, Nia""},{""Penulis"":""Anwar, Nashirudin""}]","Layanan kurir telah menjadi sektor yang telah mengalami lonjakan pertumbuhan selama pandemi Covid, pertumbuhan layanan kurir yang melambung adalah karena perdagangan di Indonesia meningkatkan kegiatan digital orang menunjukkan hal ini selama pandemi termasuk data belanja online atau online dari kementerian Indonesia dari IndonesiaKeuangan menunjukkan bahwa transaksi pembelian melalui E commerce meningkat persen menjadi juta dengan total nilai transaksi persen menjadi rp triliun pengiriman cepat dan efisien dan pengambilan barang adalah operasi inti dari layanan kurir tantangan terbesar untuk penyedia layanan kurir adalah bagaimana bersaing denganPerusahaan lain yang menawarkan jenis layanan layanan yang sama, pengguna semakin menuntut keamanan dan keandalan layanan pengiriman sehingga mereka dapat memenuhi harapan pengguna layanan, harapan pengguna layanan yang digunakan sebagai target untuk pencapaian perusahaan adalah keandalan pada akurasi waktu pengumpulan kenyamanan integritas waktu waktu dengan kenyamanan integritas akurasi waktu waktu waktu waktu waktu waktuUnit Pengiriman Cakupan Jam Operasi Layanan dan Biaya Berdasarkan Kegiatan dalam Layanan Kurir Potensi kesalahan atau ketidakefisienan dalam waktu prosedur adalah dalam kegiatan pra pengiriman dalam kegiatan pra pengiriman juga merupakan kegiatan awal yang digunakan untuk memasukkan basis data yang mengumpulkan barang yang dikumpulkan barang -barang yang distribusikan barang mengumpulkan barang dataBarang dan sebagainya dalam penelitian ini mengusulkan bahwa teknologi label RFID dapat mengatasi kesalahan dan meningkatkan efisiensi waktu prosedur dalam pengiriman barang pada layanan kurir terutama dalam kegiatan pengiriman dan pengiriman politeknik negeri semua hak dilindungi undang -undang","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1","SDG1,SDG17"
Organizational Architecture and Service Delivery Re-Alignment based on ITIL and TOGAF: Case Study of the Provincial Development Bank,"[{""Penulis"":""Amalia, Asti""},{""Penulis"":""Fajrillah, Nur""},{""Penulis"":""Lubis, Muharman""},{""Penulis"":""Syam, Irmayanti""}]","Area fungsi operasi adalah area fungsi inti dari bank pengembangan untuk melayani pelanggannya terkait dengan kebutuhan keuangan secara menarik, total ruang lingkup layanan yang disediakan dalam kasus ini dapat dikategorikan sebagai kecil atau tidak optimal dibandingkan dengan total populasi area pertanggungan di dalamnyaJawa Barat dan Banten Kurangnya kepercayaan pelanggan terhadap layanan yang ditawarkan dapat dikatakan sebagai salah satu alasan penyebab oleh organisasi yang tidak dipersiapkan untuk mengadopsi kelincahan busin dan inovasi teknologi sebagai kerangka kerja perataan mereka dengan demikian sebagai perencanaan awal di bidang fungsi dapatdimanfaatkan sebagai solusi yang akan diimplementasikan untuk meningkatkan kinerja pemberian layanan dengan memperkuat arsitektur organisasi untuk mendukung arsitektur perusahaan ini EA harus menyelaraskan busin dan dengan pemetaan praktik terbaik sebagai fondasi dan arah praktis untuk membawa layanan operasional perusahaan untuk memiliki keberlanjutan yang berkelanjutanDalam Laba dan Kepuasan Pertumbuhan Studi ini memberikan desain peta jalan menggunakan kerangka kerja TOGAF untuk mengidentifikasi keadaan perusahaan saat ini dan arsitektur TI yang diinginkan dengan strategi busin di bidang fungsi operasi semua hak dilindungi undang -undang","1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1","SDG1,SDG8,SDG17"
Weighted Round Robin (WRR) Based Replenishment Model in Vendor Managed Inventory (VMI) System,"[{""Penulis"":""Kusuma, Purba Daru""}]","Vendor Managed Inventory VMI adalah sistem rantai pasokan populer di mana vendor atau pemasok mengambil tanggung jawab dan keputusan dalam mengelola inventaris pelanggan dua tujuan penting dari VMI meningkatkan tingkat layanan dan mempertahankan inventaris yang masih rendah dan banyak studi yang tersedia dalam VMI membandingkan kinerja mereka dengan tradisionalSistem Sayangnya Studi dalam Meningkatkan Kinerja VMI jarang terjadi pekerjaan ini bertujuan untuk meningkatkan VMI dengan menerapkan round robin WRR tertimbang model penjadwalan yang populer dalam sistem komputer dalam model pengisian ulang dalam VMI WRR populer karena lingkungan penyeimbangan beban dalam pekerjaan ini adalah dua eselonRantai Pasokan Vendor adalah produsen multi produk yang pelanggan adalah pengecer model pengisian berbasis WRR ini kemudian dibandingkan dengan dua model S S Model S dan RQ yang umum dalam pekerjaan ini kami mengamati dua parameter kinerja penjualan dan kondisi inventaris berdasarkan hasil simulasiditunjukkan bahwa model WRR berkinerja lebih baik daripada model S S S dan model R Q yang ada dan terjadi pada sebagian besar variabel yang diamati dalam kinerja kondisi tertentu dari model WRR dibandingkan dengan model S S dan model R Q adalah sebagai berikut, model WRR melakukan persen persenLebih baik dari model S S dan persen lebih baik daripada model R Q dalam rasio SUCCE Saham produsen dalam model WRR hanya persen daripada dalam model S dan persen daripada dalam model R Q Total stok dalam rantai pasokan dalam model WRR hanya persen hanyalah persendaripada dalam model S dan persen daripada dalam model R Q Universiti tun hu ein onn Malaysia Publisher S Office All Rights Reserved","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1","SDG1,SDG17"
Eminence of Leader Humility for Follower Creativity During COVID-19: The Role of Self-Efficacy and Proactive Personality,"[{""Penulis"":""Asghar, Farwa""},{""Penulis"":""Mahmood, Shahid""},{""Penulis"":""Khan, Kanwal Iqbal""},{""Penulis"":""Gohar Qureshi, Madeeha""},{""Penulis"":""Fakhri, Mahendra""}]","Tujuan dari penelitian ini adalah untuk memahami bagaimana kerendahan hati pemimpin secara efektif merangsang kreativitas pengikut di tempat kerja selama skenario covid penyakit coronavirus yang mengandalkan informasi kognitif dan informasi sosial yang mewujudMekanisme intervensi kemanjuran diri pengikut dan meneliti peran moderasi kepribadian proaktif pemimpin.dan kreativitas pengikut yang meningkatkan iklim inovasi organisasi dan lingkungan untuk kemanjuran diri pengikut keberlanjutan sosial juga secara signifikan terkait dengan kreativitas pengikut, analisis mediasi menunjukkan bahwa kemanjuran diri pengikut memediasi hubungan antara kerendahan hati pemimpin dan kreativitas pengikut juga sebagai pemimpin kepribadian proaktif memoderasi relasi tersebutAntara kemanjuran diri pengikut dan kreativitas pengikut, penelitian ini menyoroti pentingnya kerendahan hati pemimpin untuk kreativitas dan memperluas literatur dengan menjelaskan peran kemanjuran diri lebih jauh dari temuan ini mungkin merupakan pembuat kebijakan dalam bagaimana seorang pemimpin yang rendahAsghar Mahmood Iqbal Khan Gohar Qureshi dan Fakhri","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1","SDG1,SDG17"
"Machine learning algorithm as a sustainable tool for dissolved oxygen prediction: a case study of Feitsui Reservoir, Taiwan","[{""Penulis"":""35256619""},{""Penulis"":""""},{""Penulis"":""35256619""},{""Penulis"":""Ziyad Sami, Balahaha Fadi""},{""Penulis"":""Latif, Sarmad Dashti""},{""Penulis"":""Ahmed, Ali Najah""},{""Penulis"":""Chow, Ming Fai""},{""Penulis"":""Murti, Muhammad Ary""},{""Penulis"":""Suhendi, Asep""},{""Penulis"":""Ziyad Sami, Balahaha Hadi""},{""Penulis"":""Wong, Jee Khai""},{""Penulis"":""Birima, Ahmed H.""},{""Penulis"":""El-Shafie, Ahmed""}]","Status Kualitas Air Dalam hal satu parameter penting seperti oksigen olved di o telah menjadi perhatian penting di reservoir FEI TSUI selama beberapa dekade karena ini adalah sumber air utama untuk Kota Taipei oleh karena itu penelitian ini bertujuan untuk mengembangkan model prediksi yang andal untuk memprediksi D oDi reservoir FEI TSUI untuk pemantauan kualitas air yang lebih baik, model yang diusulkan adalah jaringan saraf buatan ANN dengan satu lapisan tersembunyi dua puluh sembilan tahun data kualitas air telah digunakan untuk memvalidasi keakuratan model yang diusulkan, jumlah neuron yang berbeda telah diselidikiMengoptimalkan indeks statistik akurasi model S telah digunakan untuk menguji keandalan model selain bahwa analisis sensitivitas telah dilakukan untuk menyelidiki sensitivitas model terhadap parameter input. Hasilnya mengungkapkan model yang diusulkan yang mampu menangkap oksigen di olvedS nonlinier dengan tingkat akurasi yang dapat diterima di mana nilai r kuadrat sama dengan jumlah optimal neuron ditemukan sama dengan analisis sensitivitas neuron menunjukkan bahwa model dapat memprediksi d o di mana empat parameter input telah dimasukkan sebagai input di mana faktor DNilai sama dengan pencapaian dan temuan utama ini akan secara signifikan mempengaruhi status kualitas air di reservoir yang memiliki model yang sederhana dan akurat yang tertanam dalam perangkat IoT untuk memantau dan memprediksi parameter kualitas air secara real time akan memudahkan pembuat keputusan dan manajer untuk mengendalikan polusiberisiko dan mendukung keputusan mereka untuk meningkatkan kualitas air di reservoir penulis","1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0","SDG1,SDG6,SDG7,SDG11"
Integrating Blockchain for Health Insurance in Indonesia with Hash Authentication,"[{""Penulis"":""Sutanto, Erwin""},{""Penulis"":""Mulyana, Rahmat""},{""Penulis"":""Arisgraha, Franky Chandra Satria""},{""Penulis"":""Escrivá-Escrivá, Guillermo""}]",Penggunaan blockchain telah mendapat perhatian besar dalam adopsi sebagai instrumen keuangan dalam cryptocurrency fenomena ini perlu dipertimbangkan dalam arti tidak hanya sebagai bentuk transaksi keuangan tetapi juga di bidang lain seperti kesehatan yang juga merupakan tantangan bagi masyarakat modernSelain itu beberapa kebijakan pemerintah juga telah mendukung penyediaan layanan kesehatan sebagai bentuk peningkatan standar hidup orang dalam bentuk asuransi dalam penelitian ini kami mencoba merancang sistem dengan menggunakan diagram UML dan mensimulasikan penggunaan DAPP yang ditawarkan oleh Vexaniumekosistem misalnya tiga kegiatan dasar antara pasien dokter dan asuransi akan disimulasikan dalam bentuk buku besar transaksi metode ini memungkinkan kita untuk mempercepat prosedur otentikasi yang sebelumnya perlu dilakukan untuk waktu yang lama dengan birokrasi menjadi aturan dalam kontrak pintar dalamMasalah Menit Evaluasi metode ini kemudian akan dibandingkan dengan delapan proyek blockchain yang ada hasil dalam prosedur perawatan kesehatan adalah penghematan biaya melalui peningkatan standardisasi kecepatan otomatisasi dan efisiensi semua ini dapat menjadi analisis awal penerapannya di Indonesia yang terkait dengan yang terkait dengan yang terkait denganotentikasi dan perekaman catatan medis oleh penulis,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1","SDG1,SDG17"
Effects of Social Media Usage: The Well-Being and Flourishing of Housewives,"[{""Penulis"":""Hamid, Norsiah Abdul""},{""Penulis"":""Rashid, Sabrina Mohd""},{""Penulis"":""Ishak, Mohd Sobhi""},{""Penulis"":""Wulan, Roro Retno""}]","Motif Penggunaan Media Sosial Bervariasi dan Sebagian besar Bergantung Pada Pengguna Minat Latar Belakang Profesi dan Gaya Hidup Sementara Penggunaan Media Sosial telah berkembang pesat, itu telah menyebabkan banyak keprihatinan literatur tentang motivasi bagi wanita untuk menggunakan media sosial adalah membangun tetapi hasilnya mungkin tidak terungkapKontinum holistik dari motif penggunaan media sosial di antara ibu rumah tangga Malaysia karena beberapa keadaan khas dan dinamis dari kelompok yang terpinggirkan ini, penelitian ini menggali motif ibu rumah tangga untuk penggunaan media sosial dan pengaruhnya terhadap kesejahteraan mereka dan berkembang berdasarkan pada teori penggunaan dan gratifikasi lima motif lima motif lima motiftelah diusulkan yaitu pelarian informasi yang mencari inisiasi hubungan pemeliharaan persahabatan dan nostalgia yang kemudian diuji untuk kesejahteraan dan berkembang dalam studi total ibu rumah tangga di Malaysia yang merupakan pengguna aktif media sosial dalam kehidupan sehari -hari mereka terlibat dalam data survei dianalisis menggunakan menggunakanSP V dan parsial kuadrat paling sedikit pemodelan persamaan struktural PLS SEM menggunakan aplikasi SmartPLS sementara penelitian dilakukan dengan menggunakan diskusi kelompok fokus dengan sepuluh ibu rumah tangga, temuan studi mengungkapkan bahwa motif penggunaan media sosial di antara ibu rumah tangga memiliki dampak yang signifikan dan positif pada kedua kesejahteraandan berkembang dalam studi kontras menemukan lima tema yang muncul dari analisis tematik yang memperkuat hubungan dukungan emosional yang mendorong pemikiran dan karakter sistem pendapatan dan pendukung dan pengakuan pengayaan penelitian ini memberikan wawasan tentang motif penggunaan media sosial tentang kesejahteraan wanita dan penerbit yang berkembang universiti kebangsaan universiti kebangsaan universiti kebangsaan wanitaMalaysia Semua hak dilindungi undang -undang","0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0",SDG5
Collaborative Course Assignment Problem to Minimize Unserved Classes and Optimize Education Quality,"[{""Penulis"":""Kusuma, Purba Daru""}]","Pekerjaan ini mengusulkan kursus kolaboratif model pengacara di antara universitas -universitas itu berbeda dari studi yang ada dalam pendidikan masalah pengacauan atau penjadwalan kursus di mana ruang lingkup hanya berada di dalam institusi atau departemen dalam pekerjaan ini sistem ini terdiri dari beberapa universitas pendekatan kolaboratif dilakukan demikianBahwa pertukaran dosen adalah orang yang baik dan dilakukan secara otomatis setiap universitas berbagi kursus dan dosen optimasi dilakukan untuk meminimalkan kla yang tidak terlayani dan meningkatkan kualitas pendidikan yang didasarkan pada teori cloud yang disimulasikan anil disebarkan untuk mengoptimalkan A pengacauan model ini kemudian dibandingkan dengan dua dengan dua dengan dua dibandingkan dengan dua dengan dua dibandingkan dengan dua dengan dua dibandingkan dengan dua dengan cloud dengan dua dibandingkan dengan dua dengan cloud dengan dua dibandingkan dengan dua.Model Non Kolaboratif Tujuan Model S pertama adalah untuk meminimalkan kla yang tidak dilayani hanya tujuan Model S kedua adalah untuk meminimalkan kla yang tidak dilayani dan meningkatkan kualitas pendidikan. Hasil simulasi menunjukkan bahwa model pengapian yang diusulkan lebih baik dalam meminimalkan CLA ES yang tidak terlayani esdan meningkatkan kualitas pendidikan, model yang diusulkan berkurang menjadi persen dari rasio kla yang tidak dilayani dibandingkan dengan model non kolaboratif semua hak dilindungi undang -undang","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",SDG4
Bio-Inspired Scheduling for Factory Automation in the TD-LTE System,"[{""Penulis"":""Ryu, Won Jae""},{""Penulis"":""Satrya, Gandeva Bayu""},{""Penulis"":""Shin, Soo Young""}]","Teknologi Wirele memiliki keunggulan seperti fleksibilitas biaya rendah instalasi yang relatif mudah dan kemampuan untuk menambahkan routing akibatnya akibatnya wirele factory Automation telah mendapat perhatian besar baru -baru ini, tetapi sebagian besar teknologi wirele dalam otomatisasi pabrik telah mengadopsi bandwidth yang tidak berlaku yang dapat dipengaruhi oleh gangguan dari pengguna lain yang sudah lama pengguna lain lama untuk mengadopsi bandwidth yang tidak ada gangguan dari pengguna lain dari pengguna lain yang lama untuk pengguna lain yang lama lama dari pengguna lain lamaIstilah evolusi mengadopsi bandwidth berlisensi oleh karena itu dapat menjadi solusi untuk otomatisasi pabrik. Makalah ini menyajikan algoritma penjadwalan dalam jaringan industri Wirele untuk otomatisasi pabrik dalam jaringan sensor wirele menggunakan sistem LTE TD untuk memenuhi persyaratan waktu nyata algoritma penjadwalan berdasarkan bio yang diinspirasi oleh algorithmisasi bio yang diinspirasi oleh bio yang diinspirasi oleh bio yang diinspirasi oleh bio yang diinspirasi oleh bio yang diinspirasi oleh bio yang diinspirasi oleh bio yang diinspirasi oleh bio yang diinspirasi oleh bio yang diinspirasi oleh bio yang diinspirasi oleh bio yang diinspirasi oleh bio yang diinspirasi oleh bio -inpired algorithmiseSebagai algoritma genetika GA Partikel SWARM Optimasi PSO dan algoritma Firefly FA dan konfigurasi bingkai dinamis DFC diusulkan untuk mencakup lebih banyak node selanjutnya.","0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",SDG9
IoT-Based Photography Practice Learning Design for Basic Photography Subjects at Indonesian Vocational High Schools,"[{""Penulis"":""Suwastika, Novian Anggis""},{""Penulis"":""Qonita, Qori""},{""Penulis"":""Makky, Muhammad Al""},{""Penulis"":""Masrom, Maslin""},{""Penulis"":""Slamet, Taufik""}]","Di era industri pemerintah Indonesia menerapkan Merdeka Belajar atau kurikulum pembelajaran independen untuk meningkatkan kompetensi dan keterampilan sekolah kejuruan, kurikulum ini memberikan fleksibilitas dan otonomi sekolah untuk merancang pembelajaran yang disesuaikan dengan tingkat kemampuan siswa yang relevan dengan industri dan satu pilar teknologi kontekstualIndustri diterapkan secara luas di berbagai bidang adalah Internet of Things IoT Penelitian ini mengusulkan desain arsitektur untuk menerapkan teknologi berbasis IoT untuk pembelajaran fotografi dasar dalam jurusan siaran dan film di sekolah menengah kejuruan Indonesia VHS Tantangan dalam belajar fotografi dasar adalah alat praktik terbatas waktu cepat dengan cepatdan umpan balik yang akurat untuk siswa dan data tentang semua kegiatan siswa, sistem yang diusulkan diimplementasikan di laboratorium fotografi, sistem yang diusulkan dapat menyimpan kegiatan praktik siswa, otomatisasi sistem leveling permainan gamification sesuai dengan level dan tugas dan memberikan umpan balik yang cepat dan akurat output penelitian ini adalah output penelitian ini adalah output penelitian ini adalah output penelitian ini adalah output penelitian iniDesain Sistem Yang Terdiri dari Desain Arsitektur Sistem dan Bahasa Pemodelan Terpadu Bahasa UML Diagram UML Dibangun Dalam Penelitian Ini Termasuk Kasus Kasus Penggunaan dan Diagram Hubungan Entitas IEEE","0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0","SDG4,SDG9"
The effects of gender and age on factors that influence purchase intentions and behaviours of e-commerce consumers in Indonesia,"[{""Penulis"":""Alfanur, Farah""},{""Penulis"":""Kadono, Yasuo""}]",Penelitian ini bertujuan untuk memberikan pembelajaran baru dari sudut pandang perilaku konsumen dengan memahami efek jenis kelamin dan usia pada niat pembelian konsumen dan perilaku pembelian secara khusus dalam konteks perdagangan E di Indonesia dengan mengembangkan model struktural hipotetis yang terdiri dari sembilan faktor motivasi yang dirasakan Kualitas situs web yang dirasakan situs web yang dirasakan situs web yang dirasakan disusun situs web yang dirasakan oleh situs web yang dirasakan dirasakan dirasakan oleh situs web yang dirasakan dirasakan.Pengaruh Sosial memfasilitasi kondisi motivasi hedonis alasan ekonomi variasi keamanan dan pengiriman hasil analisis statistik data yang dikumpulkan dari konsumen perdagangan menggunakan pemodelan persamaan struktural menunjukkan bahwa laki -laki dipengaruhi oleh kualitas dan kenyamanan situs web yang dirasakan sementara perempuan dipengaruhi oleh alasan ekonomi keamanan dan kenyamanan sosial dan sosial dan sosialPengaruh Selanjutnya konsumen di bawah bertahun -tahun dipengaruhi oleh kenyamanan dan kualitas situs web yang dirasakan sementara konsumen yang berumur bertahun -tahun dan di atasnya dipengaruhi oleh memfasilitasi kondisi alasan ekonomi dan pengaruh sosial sehingga merupakan pengaruh dari alasan ekonomi pengaruh sosial dan keamanan dengan niat pembelian dimoderat oleh olehJenis Kelamin dan Usia Temuan ini bermanfaat untuk penelitian perdagangan dan busin dari sudut pandang motivasi konsumen Indonesia yang dikategorikan sesuai dengan jenis kelamin dan usia hak cipta Inderscience Enterprises Ltd,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1","SDG1,SDG17"
Non-Academic Factors Analysis Impacting Students' Online Learning During the COVID-19 Pandemic in Universitas Logistic and Bisnis Internasional,"[{""Penulis"":""Pane, Syafrial Fachri""},{""Penulis"":""Fajri, Ravi Rahmatul""},{""Penulis"":""Putrada, Aji Gautama""},{""Penulis"":""Alamsyah, Nur""},{""Penulis"":""Fauzan, Mohamad Nurkamal""},{""Penulis"":""Awangga, Rolly Maulana""}]",Dalam Pendidikan Online Pembelajaran dengan Sistem Pembelajaran E adalah kebutuhan yang tak tergantikan banyak orang berpendapat bahwa pembelajaran online adalah krisis pendidikan saat ini beberapa studi menunjukkan betapa rumitnya penanganan Covid untuk universitas terutama dalam hasil pembelajaran online dan variabel yang mempengaruhi pembelajaran online selama CovidEpidemi telah ditunjukkan dalam berbagai penelitian namun pengaruh beberapa faktor lain masih perlu diselidiki oleh karena itu penelitian ini bertujuan untuk menentukan faktor non akademik yang mempengaruhi pembelajaran online selama pandemi Covid dengan data yang dikumpulkan dari Universitas Logistik Internasional dan Busine ULBI Studi iniMenggunakan Analisis Alfa Cronbach S Bayesian Analisis Faktor Eksplorasi BEFA Analisis Komponen Utama PCA dan Analisis Regreat Multivariat Evaluasi Skala Penelitian menunjukkan variabel yang diamati.Kualitas Komunikasi H dan Dukungan Siswa H Setiap faktor memiliki nilai p nilai p dan nilai p masing -masing.Penghasilan keluarga dapat beradaptasi dengan perubahan selama pandemi Covid IEEE,"0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0","SDG3,SDG4"
