gabung,bias,pro_anti
kompas temu bpk seleweng anggar jalan dinas pns rp kpu capai rp m badan periksa uang bpk temu simpang anggar jalan dinas menteri lembaga simpang anggar tahun capai rp miliar catat lapor hasil periksa lhp sistem kendali intern patuh tentu atur undang undang perintah pusat lansir lhp sistem kendali intern patuh tentu atur undang undang perintah pusat menteri lembaga catat simpang belanja jalan dinas simak berita lengkap video tulis alinda hardiantoro,0,0
kompas gibran datang prabowo hambalang wakil presiden pilih gibran rakabuming raka diam presiden pilih prabowo subianto diam hambalang kabupaten bogor jawa barat sabtu sempat prabowo kena kemeja biru langit gibran kena setel kemeja warna abu corak diskus ruang pustaka milik prabowo jelas isi topik bicara,1,0
kompas gibran buku gambar jhan ethes hasto gambar pahlawan sekjen pdi hasto kristiyanto tanggap wakil presiden pilih gibran rakabuming bagi buku sampul foto anak jan ethes siswa sekolah dasar sd hasto buku buku sampul ragam tokoh pahlawan nasional hasto giat wayang halaman masjid at taufiq sekolah partai pdip jakarta selatan rangka ingat karno sabtu malam gibran bagi susu siswa sdn vi margorejo surabaya kunjung diam khofifah indar parawansa kamis susu uht kemas gibran bagi buku tulis gambar putra jan ethes gantung kunci gambar karakter naruto,0,0
kompas keluarga jokowi jabat strategis pertamina keluarga presiden joko widodo jokowi duduk jabat pt pertamina anak usaha pt patra logistik bagaskara ikhlasulla arif joko priyambodo bagaskara ikhlasulla keponakan jokowi putra titik rawat adik bungsu jokowi joko priyambodo menantu anwar usman adik ipar jokowi,0,0
kompas ahy sebab hektare lahan ikn masalah menteri atr bpn agus harimurti yudhoyono total hektar lahan kawasan inti pusat perintah kipp kota nusantara ikn hektare nyata clean and clear ahy uang ganti rugi masyarakat uang kerohiman milik sertifikat tanah duduk tinggal kebun kawasan,0,0
kompas demokrat sayang amien rais tuju presiden pilih mpr sesuai juang era kepala badan komunikasi strategis dpp partai demokrat herzaky mahendra putra tanggap nyata ketua mpr periode amien rais tuju presiden pilih langsung mpr herzaky isu usul presiden pilih mpr ri simpang herzaky singgung ide balik juang amien rais era reformasi,1,0
kompas tarik puan anies pdi tarik mantan gubernur dki jakarta anies baswedan tari partai pdi timbang maju pilkada jakarta anies kunjung taman literasi martha tiahahu jakarta selatan jumat anies timbang maju putus,0,0
kompas cerita ahy kejut jokowi menteri expert bidang tanah agus harimurti yudhoyono ahy cerita momen kejut presiden jokowi menteri atr bpn ganti had tjahjanto ahy aku rekam jejak bidang agraria tata ruang tanah konferensi pers kerja kantor menteri atr bpn jakarta selatan jumat,1,1
kompas respons anies lirik pdi pkb pilkada jakarta ,0,0
kompas gibran balas budi khofifah emil all out pilkada jatim wakil presiden pilih gibran rakabuming raka total dukung khofifah indar parawansa emil elestianto dardak tahana maju pilih kepala daerah pilkada jawa timur jatim nyata putra sulung presiden jokowi kunjung diam khofifah kota surabaya jawa timur kamis,1,0
kompas alas buruh tolak tapera rumah pensiun massa buruh tolak atur tabung rumah rakyat tapera lantar jamin rumah tua seru ikut aksi unjuk tolak tapera patung kuda jalan medan merdeka barat gambir jakarta pusat kamis dapat perintah sedia rumah buruh bayar iur,0,1
kompas buruh ancam demo atur tapera cabut partai buruh serikat buruh ancam gelar demo provinsi indonesia perintah cabut atur perintah pp nomor ubah pp nomor selenggara tabung rumah rakyat buruh pp cabut lambat lambat x jam gelar aksi unjuk patung kuda jakarta pusat kamis,0,0
kompas partai buruh sentil dpr tapera cuci tangan bikin uu nya partai buruh rencana aju judicial review undang undang uu nomor tabung rumah rakyat tapera mahkamah konstitusi mk partai buruh aju judicial review atur turun uu atur perintah pp nomor ubah pp nomor selenggara tapera mahkamah agung ma presiden partai buruh said iqbal dpr cuci tangan tapera tuai kritik dpr libat rumus uu tapera video jurnalis xena olivia video editor nursita sari produser nursita sari partaiburuhtolaktapera buruhtolaktapera tapera jernihkanharapan,1,0
kompas tolak tapera partai buruh perintah niat kasih rumah potong uang rakyat presiden partai buruh said iqbal tuding perintah niat bangun rumah rakyat dasar hitung akumulasi gaji potong iur tabung rumah rakyat tapera uang muka beli rumah said iqbal program tapera desak presiden joko widodo cabut atur tapera,1,1
kompas said iqbal tolak tapera uang polisi tni korupsi uang rakyat presiden partai buruh said iqbal alas tolak bijak tabung rumah rakyat tapera demo buruh kamis said iqbal khawatir iur masuk dana tapera ladang korupsi singgung korupsi asabri informasi dana program asabri korupsi asal gaji pokok tni polri asn menteri tahan potong persen,0,0
kompas prabowo istana temu jokowi lapor kunjung negeri menteri tahan menhan prabowo subianto hadir istana presiden jakarta kamis wib presiden pilih hasil pilpres pintu veteran istana negara aku lapor hasil temu kunjung negeri simak berita lengkap video video jurnalis dian erika nugrahenypenulis dian erika nugraheny,0,1
kompas bamsoet lapor mkd klaim parpol tuju amandemen uud ketua mpr bambang soesatyo lapor mahkamah hormat dewan mkd klaim fraksi partai politik tuju proses amandemen undang undang dasar uud wakil ketua mkd nazaruddin dek gam proses lapor bukti langgar bamsoet potensi copot jabat ketua mpr,0,0
kompas hasto pdi penuh panggil kpk harun mas sekretaris jenderal pdi hasto kristiyanto aku penuh panggil kpk pekan kpk jadwal panggil hasto terang kait duga duga suap politis pdi harun mas buron kpk harap hasto kooperatif penuh panggil simak berita lengkap video video jurnalis ham tal mic,0,0
kompas full massa buruh tolak tapera peras rakyat sengsara massa buruh gelar aksi unjuk tolak bijak tabung rumah rakyat tapera patung kuda jalan medan merdeka barat gambir jakarta pusat kamis pantau kompas com massa kumpul wib seragam serikat bawa bendera partai buruh orator massa aksi tolak tapera nilai bijak rakyat sengsara potong gaji persen tapera banding naik upah,0,0
kompas kaca gibran mahfud md percaya jokowi larang kaesang maju pilkada mantan menteri koordinator bidang politik hukum aman menko polhukam mahfud md aku percaya nyata presiden joko widodo jokowi tuju putra bungsu kaesang pangarep maju pilih kepala daerah pilkada alas mahfud lantas singgung nyata jokowi tuju putra sulung gibran rakabuming raka maju pilih presiden pilpres nyata gibran calon wakil presiden cawapres prabowo subianto menang kontestasi,0,0
kompas buruh gelar demo tolak tapera pasti rumah massa buruh gelar aksi unjuk tolak bijak tabung rumah rakyat tapera patung kuda jalan medan merdeka barat gambir jakarta pusat kamis pantau kompas com massa kumpul wib seragam serikat bawa bendera partai buruh presiden partai buruh said iqbal salah alas massa tentang tapera jamin buruh rumah,0,1
kompas momen wamenhan salah perintah jokowi gibran rapat komisi dpr wakil menteri tahan muhammad herindra ceplos pimpin perintah presiden ri jokowi wakil presiden pilih putra sulung jokowi gibran rakabuming raka momen rapat komisi dpr hadir panglima tni ksad ksau ksal kait anggar beli alutsista italia kamis,0,0
kompas dpr pasti prabowo hadir rapat komisi sidang menteri tahan prabowo subianto hadir rapat komisi dpr kamis ketua komisi dpr meutya hafid prabowo halang giat prabowo hadir rapat komisi september bahas anggar prabowo hadir dpr rapat paripurna kesah janji kerja bidang tahan ri singapura meutya prabowo hadir rapat sidang sidang selesai,0,0
kompas jokowi nanti air ngantor ikn presiden joko widodo optimistis kantor kota nusantara ikn dasar terang jokowi kantor juni juli perintah sarana prasarana kait sedia air resmi bendung paku air mukim ikn pasti presiden kantor laksana tugas plt kepala otorita kota nusantara oikn basuki hadimuljono,0,0
kompas bamsoet pimpin parpol rasa milu brutal ,0,1
kompas jokowi nilai gimik larang kaesang maju pilkada ,0,0
kompas kunjung ikn tutup jelang hut ri jelang merdeka ri lokasi kerja bangun infrastruktur kota nusantara ikn provinsi kalimantan timur kaltim tutup masif kerja fisik tambah padat lintas logistik siap laksana kutip laman instagram resmi ikn ikn id tutup laksana mei pemberitahuan instansi dinas unjung ikn buka penuh syarat syarat,0,0
